"",BBFB1.Q.N.DE.CN.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:02,
1991-01,-3.502,
1991-04,-8.708,
1991-07,-9.904,
1991-10,-6.482,
1992-01,-14.610,
1992-04,-14.012,
1992-07,-14.724,
1992-10,-12.444,
1993-01,-12.713,
1993-04,-17.523,
1993-07,-15.455,
1993-10,-16.756,
1994-01,-16.595,
1994-04,-18.784,
1994-07,-12.056,
1994-10,-24.747,
1995-01,-10.371,
1995-04,-14.553,
1995-07,-47.797,
1995-10,13.885,
1996-01,-35.927,
1996-04,-37.943,
1996-07,-48.567,
1996-10,-36.985,
1997-01,-64.515,
1997-04,-56.172,
1997-07,-77.207,
1997-10,-68.175,
1998-01,-70.656,
1998-04,-71.329,
1998-07,-76.316,
1998-10,-58.850,
1999-01,-64.263,
1999-04,-53.919,
1999-07,-51.370,
1999-10,-60.295,
2000-01,-44.844,
2000-04,-76.004,
2000-07,-58.724,
2000-10,-11.220,
2001-01,-36.218,
2001-04,-100.045,
2001-07,-16.442,
2001-10,41.418,
2002-01,48.488,
2002-04,-35.278,
2002-07,19.475,
2002-10,102.784,
2003-01,35.027,
2003-04,44.992,
2003-07,92.221,
2003-10,73.791,
2004-01,-41.494,
2004-04,35.417,
2004-07,76.090,
2004-10,49.984,
2005-01,-144.439,
2005-04,-265.762,
2005-07,-150.409,
2005-10,-116.002,
2006-01,-215.185,
2006-04,-156.419,
2006-07,-198.600,
2006-10,4.326,
2007-01,-100.324,
2007-04,-92.611,
2007-07,-192.208,
2007-10,-139.907,
2008-01,-154.387,
2008-04,-211.036,
2008-07,-81.632,
2008-10,24.841,
2009-01,7.859,
2009-04,138.916,
2009-07,233.072,
2009-10,298.492,
2010-01,8.237,
2010-04,-38.812,
2010-07,51.341,
2010-10,272.811,
2011-01,174.414,
2011-04,187.003,
2011-07,351.439,
2011-10,451.494,
2012-01,74.683,
2012-04,233.190,
2012-07,494.073,
2012-10,453.920,
2013-01,10.945,
2013-04,508.778,
2013-07,391.073,
2013-10,577.202,
2014-01,495.734,Provisional value
2014-04,575.896,Provisional value
2014-07,418.126,Provisional value
