"",BBK01.OELB21M,BBK01.OELB21M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:13,
2002-01,0.175,
2002-04,0.208,
2002-07,0.282,
2002-10,0.240,
2003-01,0.195,
2003-04,0.255,
2003-07,0.256,
2003-10,0.235,
2004-01,0.236,
2004-04,0.251,
2004-07,0.252,
2004-10,0.259,
2005-01,0.258,
2005-04,0.258,
2005-07,0.264,
2005-10,0.247,
2006-01,0.256,
2006-04,0.385,
2006-07,0.388,
2006-10,0.359,
2007-01,0.388,
2007-04,0.395,
2007-07,0.378,
2007-10,0.381,
2008-01,0.373,
2008-04,0.353,
2008-07,0.348,
2008-10,0.325,
2009-01,0.342,
2009-04,0.357,
2009-07,0.332,
2009-10,0.356,
2010-01,0.324,
2010-04,0.369,
2010-07,0.306,
2010-10,0.307,
2011-01,0.308,
2011-04,0.311,
2011-07,0.325,
2011-10,0.366,
2012-01,0.355,
2012-04,0.323,
2012-07,0.347,
2012-10,0.352,
2013-01,0.346,
2013-04,0.351,
2013-07,0.349,
2013-10,0.354,
2014-01,0.374,
2014-04,0.378,
2014-07,0.389,
