"",BBK01.OEBB02P,BBK01.OEBB02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:00,
2002-01,0.938,
2002-04,0.957,
2002-07,0.969,
2002-10,0.414,
2003-01,0.515,
2003-04,0.359,
2003-07,0.363,
2003-10,0.327,
2004-01,0.280,
2004-04,0.252,
2004-07,0.300,
2004-10,0.271,
2005-01,0.258,
2005-04,0.288,
2005-07,0.294,
2005-10,0.253,
2006-01,0.264,
2006-04,0.313,
2006-07,0.317,
2006-10,0.282,
2007-01,0.278,
2007-04,0.270,
2007-07,0.248,
2007-10,0.300,
2008-01,0.293,
2008-04,0.292,
2008-07,0.238,
2008-10,0.204,
2009-01,0.194,
2009-04,0.190,
2009-07,0.199,
2009-10,0.133,
2010-01,0.195,
2010-04,0.155,
2010-07,0.166,
2010-10,0.204,
2011-01,0.202,
2011-04,0.185,
2011-07,0.231,
2011-10,0.190,
2012-01,0.223,
2012-04,0.201,
2012-07,0.244,
2012-10,0.174,
2013-01,0.291,
2013-04,0.301,
2013-07,0.278,
2013-10,0.283,
2014-01,0.289,
2014-04,0.293,
2014-07,0.302,
