"",BBFB1.Q.N.DE.A2.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:18,
1991-01,-737.202,
1991-04,742.114,
1991-07,596.478,
1991-10,854.107,
1992-01,164.142,
1992-04,403.521,
1992-07,592.129,
1992-10,372.857,
1993-01,516.694,
1993-04,322.445,
1993-07,395.277,
1993-10,149.467,
1994-01,142.081,
1994-04,13.106,
1994-07,-493.692,
1994-10,1244.191,
1995-01,30.926,
1995-04,3401.822,
1995-07,555.889,
1995-10,1210.187,
1996-01,2244.749,
1996-04,1414.130,
1996-07,2667.085,
1996-10,6015.722,
1997-01,14184.137,
1997-04,-1783.426,
1997-07,-183.286,
1997-10,-1571.334,
1998-01,12342.137,
1998-04,-4283.850,
1998-07,5754.222,
1998-10,26255.606,
1999-01,11704.731,
1999-04,23877.222,
1999-07,-9632.054,
1999-10,4909.391,
2000-01,19580.882,
2000-04,8525.780,
2000-07,-300.303,
2000-10,4433.878,
2001-01,28693.765,
2001-04,36179.655,
2001-07,-6626.356,
2001-10,-4245.899,
2002-01,-3191.999,
2002-04,-9902.944,
2002-07,3414.053,
2002-10,-8445.855,
2003-01,7483.111,
2003-04,-6380.771,
2003-07,5670.749,
2003-10,-1442.746,
2004-01,-4313.747,
2004-04,2551.071,
2004-07,4440.216,
2004-10,-696.777,
2005-01,5469.533,
2005-04,3770.386,
2005-07,-1146.463,
2005-10,-7495.416,
2006-01,4695.686,
2006-04,6479.266,
2006-07,3444.976,
2006-10,3896.968,
2007-01,-2183.640,
2007-04,1521.804,
2007-07,3009.873,
2007-10,10146.260,
2008-01,-4581.653,
2008-04,4219.208,
2008-07,2993.423,
2008-10,-18152.951,
2009-01,1848.062,
2009-04,-1180.782,
2009-07,618.445,
2009-10,-596.656,
2010-01,7700.680,
2010-04,4085.573,
2010-07,5109.272,
2010-10,-1855.606,
2011-01,2580.025,
2011-04,-1221.665,
2011-07,510.119,
2011-10,705.981,
2012-01,-286.898,
2012-04,-6275.521,
2012-07,-5711.496,
2012-10,6349.927,
2013-01,-4808.089,
2013-04,9503.193,
2013-07,1572.809,
2013-10,-6155.789,
2014-01,-2771.977,Provisional value
2014-04,354.178,Provisional value
2014-07,-1012.868,Provisional value
2014-10,3223.405,Provisional value
