"",BBK01.OEAF33K,BBK01.OEAF33K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:08,
2002-01,33.743,
2002-04,33.734,
2002-07,34.244,
2002-10,33.604,
2003-01,32.856,
2003-04,28.510,
2003-07,28.688,
2003-10,28.680,
2004-01,29.501,
2004-04,30.740,
2004-07,30.828,
2004-10,31.140,
2005-01,31.424,
2005-04,31.475,
2005-07,31.427,
2005-10,31.422,
2006-01,31.146,
2006-04,30.921,
2006-07,30.487,
2006-10,30.297,
2007-01,29.237,
2007-04,28.866,
2007-07,27.848,
2007-10,27.364,
2008-01,26.854,
2008-04,26.500,
2008-07,26.144,
2008-10,25.387,
2009-01,24.822,
2009-04,25.670,
2009-07,25.586,
2009-10,24.788,
2010-01,24.275,
2010-04,23.912,
2010-07,23.811,
2010-10,23.744,
2011-01,23.113,
2011-04,22.871,
2011-07,22.683,
2011-10,22.424,
2012-01,22.178,
2012-04,22.046,
2012-07,21.817,
2012-10,21.671,
2013-01,21.423,
2013-04,21.321,
2013-07,20.841,
2013-10,20.540,
2014-01,20.426,
2014-04,20.151,
2014-07,20.726,
