"",BBK01.OEAF16L,BBK01.OEAF16L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:17,
2002-01,0.155,
2002-04,0.203,
2002-07,0.164,
2002-10,0.177,
2003-01,0.170,
2003-04,0.177,
2003-07,0.178,
2003-10,0.178,
2004-01,0.169,
2004-04,0.166,
2004-07,0.174,
2004-10,0.185,
2005-01,0.172,
2005-04,0.172,
2005-07,0.168,
2005-10,0.157,
2006-01,0.158,
2006-04,0.175,
2006-07,0.183,
2006-10,0.199,
2007-01,0.172,
2007-04,0.171,
2007-07,0.173,
2007-10,0.173,
2008-01,0.176,
2008-04,0.169,
2008-07,0.176,
2008-10,0.190,
2009-01,0.191,
2009-04,0.172,
2009-07,0.259,
2009-10,0.321,
2010-01,0.308,
2010-04,0.309,
2010-07,0.260,
2010-10,0.259,
2011-01,0.268,
2011-04,0.300,
2011-07,0.293,
2011-10,0.287,
2012-01,0.249,
2012-04,0.116,
2012-07,0.120,
2012-10,0.117,
2013-01,0.100,
2013-04,0.132,
2013-07,0.130,
2013-10,0.108,
2014-01,0.106,
2014-04,0.094,
2014-07,0.095,
