"",BBK01.OEAI03M,BBK01.OEAI03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:18,
2002-01,66.385,
2002-04,66.386,
2002-07,66.174,
2002-10,67.046,
2003-01,67.943,
2003-04,67.699,
2003-07,67.669,
2003-10,64.196,
2004-01,64.869,
2004-04,67.369,
2004-07,68.230,
2004-10,70.571,
2005-01,71.377,
2005-04,73.104,
2005-07,74.232,
2005-10,75.826,
2006-01,76.382,
2006-04,75.622,
2006-07,77.407,
2006-10,78.989,
2007-01,79.778,
2007-04,79.287,
2007-07,81.583,
2007-10,85.321,
2008-01,87.716,
2008-04,88.990,
2008-07,92.010,
2008-10,99.085,
2009-01,94.729,
2009-04,89.168,
2009-07,86.583,
2009-10,81.246,
2010-01,79.868,
2010-04,77.978,
2010-07,79.361,
2010-10,79.474,
2011-01,80.862,
2011-04,80.537,
2011-07,82.235,
2011-10,85.510,
2012-01,86.103,
2012-04,89.328,
2012-07,84.766,
2012-10,84.506,
2013-01,79.901,
2013-04,82.257,
2013-07,77.076,
2013-10,76.855,
2014-01,77.413,
2014-04,79.391,
2014-07,79.448,
