"",BBK01.OELM03M,BBK01.OELM03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:40,
2002-01,0.136,
2002-04,0.138,
2002-07,0.132,
2002-10,0.200,
2003-01,0.119,
2003-04,0.109,
2003-07,0.110,
2003-10,0.278,
2004-01,0.116,
2004-04,0.103,
2004-07,0.102,
2004-10,0.412,
2005-01,0.108,
2005-04,0.108,
2005-07,0.120,
2005-10,0.356,
2006-01,0.158,
2006-04,0.200,
2006-07,0.158,
2006-10,0.499,
2007-01,0.167,
2007-04,0.150,
2007-07,0.151,
2007-10,0.278,
2008-01,0.178,
2008-04,0.154,
2008-07,0.192,
2008-10,0.248,
2009-01,0.191,
2009-04,0.155,
2009-07,0.208,
2009-10,0.281,
2010-01,0.147,
2010-04,0.116,
2010-07,0.120,
2010-10,0.154,
2011-01,0.126,
2011-04,0.139,
2011-07,0.148,
2011-10,0.159,
2012-01,0.148,
2012-04,0.180,
2012-07,0.195,
2012-10,0.196,
2013-01,0.218,
2013-04,0.225,
2013-07,0.186,
2013-10,0.189,
2014-01,0.235,
2014-04,0.232,
2014-07,0.211,
