"",BBK01.OEXI09K,BBK01.OEXI09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:21,
2002-01,0.513,
2002-04,0.482,
2002-07,0.504,
2002-10,0.477,
2003-01,0.428,
2003-04,0.394,
2003-07,0.371,
2003-10,0.369,
2004-01,0.346,
2004-04,0.323,
2004-07,0.306,
2004-10,0.291,
2005-01,0.293,
2005-04,0.278,
2005-07,0.246,
2005-10,0.244,
2006-01,0.254,
2006-04,0.276,
2006-07,0.287,
2006-10,0.310,
2007-01,0.431,
2007-04,0.494,
2007-07,0.554,
2007-10,0.655,
2008-01,0.697,
2008-04,0.764,
2008-07,0.812,
2008-10,1.172,
2009-01,1.139,
2009-04,1.140,
2009-07,1.112,
2009-10,0.893,
2010-01,0.734,
2010-04,0.730,
2010-07,0.694,
2010-10,0.813,
2011-01,0.923,
2011-04,0.934,
2011-07,0.933,
2011-10,0.903,
2012-01,0.831,
2012-04,0.820,
2012-07,0.779,
2012-10,0.678,
2013-01,0.591,
2013-04,0.530,
2013-07,0.495,
2013-10,0.484,
2014-01,0.460,
2014-04,0.443,
2014-07,0.536,
