"",BBK01.OELI05V,BBK01.OELI05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:56,
2002-01,0.139,
2002-04,0.141,
2002-07,0.151,
2002-10,0.147,
2003-01,0.141,
2003-04,0.140,
2003-07,0.134,
2003-10,0.138,
2004-01,0.124,
2004-04,0.122,
2004-07,0.123,
2004-10,0.166,
2005-01,0.169,
2005-04,0.170,
2005-07,0.166,
2005-10,0.172,
2006-01,0.170,
2006-04,0.177,
2006-07,0.188,
2006-10,0.176,
2007-01,0.185,
2007-04,0.182,
2007-07,0.185,
2007-10,0.192,
2008-01,0.184,
2008-04,0.176,
2008-07,0.183,
2008-10,0.181,
2009-01,0.175,
2009-04,0.163,
2009-07,0.164,
2009-10,0.182,
2010-01,0.170,
2010-04,0.163,
2010-07,0.166,
2010-10,0.152,
2011-01,0.154,
2011-04,0.185,
2011-07,0.205,
2011-10,0.209,
2012-01,0.215,
2012-04,0.205,
2012-07,0.209,
2012-10,0.211,
2013-01,0.306,
2013-04,0.313,
2013-07,0.315,
2013-10,0.318,
2014-01,0.381,
2014-04,0.369,
2014-07,0.371,
