"",BBFB1.Q.N.DE.FR.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.FR.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:18,
1991-01,-37.512,
1991-04,-9.013,
1991-07,36.415,
1991-10,-73.626,
1992-01,-89.376,
1992-04,-22.187,
1992-07,41.129,
1992-10,-344.418,
1993-01,-182.709,
1993-04,-11.022,
1993-07,-4.380,
1993-10,-163.671,
1994-01,-332.476,
1994-04,-512.810,
1994-07,-110.953,
1994-10,-223.834,
1995-01,-284.883,
1995-04,-250.110,
1995-07,-56.509,
1995-10,-197.188,
1996-01,55.587,
1996-04,-46.679,
1996-07,-95.441,
1996-10,21.016,
1997-01,-928.548,
1997-04,150.461,
1997-07,1531.775,
1997-10,352.385,
1998-01,-33.539,
1998-04,152.874,
1998-07,527.669,
1998-10,-455.967,
1999-01,-665.566,
1999-04,-269.661,
1999-07,-287.279,
1999-10,1245.643,
2000-01,-155.863,
2000-04,-732.980,
2000-07,-167.845,
2000-10,-41.072,
2001-01,92.040,
2001-04,-5834.362,
2001-07,2425.003,
2001-10,-1297.976,
2002-01,-365.152,
2002-04,1572.789,
2002-07,3434.367,
2002-10,-412.607,
2003-01,867.429,
2003-04,2796.695,
2003-07,1027.315,
2003-10,1063.020,
2004-01,-901.588,
2004-04,0.403,
2004-07,1162.477,
2004-10,1005.008,
2005-01,2254.507,
2005-04,1043.123,
2005-07,1522.079,
2005-10,2422.517,
2006-01,4155.733,
2006-04,-952.705,
2006-07,3443.098,
2006-10,-3474.672,
2007-01,6713.320,
2007-04,11547.389,
2007-07,30665.000,
2007-10,27576.623,
2008-01,16661.153,
2008-04,-854.992,
2008-07,2409.054,
2008-10,-417.630,
2009-01,-13623.672,
2009-04,-9275.093,
2009-07,-2513.773,
2009-10,-1772.532,
2010-01,3017.293,
2010-04,2354.680,
2010-07,1217.349,
2010-10,2864.063,
2011-01,4216.997,
2011-04,4682.850,
2011-07,4409.435,
2011-10,2781.783,
2012-01,-1450.693,
2012-04,2585.568,
2012-07,-1569.511,
2012-10,-1104.857,
2013-01,2485.729,
2013-04,-1341.700,
2013-07,-1482.461,
2013-10,788.392,
2014-01,3016.104,Provisional value
2014-04,2863.752,Provisional value
2014-07,2777.247,Provisional value
2014-10,4976.505,Provisional value
