"",BBK01.OEXB12P,BBK01.OEXB12P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:26,
2002-01,0.100,
2002-04,0.098,
2002-07,0.096,
2002-10,0.095,
2003-01,0.093,
2003-04,0.079,
2003-07,0.035,
2003-10,0.034,
2004-01,0.034,
2004-04,0.033,
2004-07,0.033,
2004-10,0.033,
2005-01,0.034,
2005-04,0.033,
2005-07,0.035,
2005-10,0.034,
2006-01,0.034,
2006-04,0.037,
2006-07,0.037,
2006-10,0.039,
2007-01,0.038,
2007-04,0.040,
2007-07,0.042,
2007-10,0.041,
2008-01,0.041,
2008-04,0.042,
2008-07,0.043,
2008-10,0.043,
2009-01,0.044,
2009-04,0.045,
2009-07,0.046,
2009-10,0.046,
2010-01,0.046,
2010-04,0.046,
2010-07,0.044,
2010-10,0.043,
2011-01,0.043,
2011-04,0.043,
2011-07,0.041,
2011-10,0.045,
2012-01,0.047,
2012-04,0.048,
2012-07,0.049,
2012-10,0.048,
2013-01,0.048,
2013-04,0.049,
2013-07,0.049,
2013-10,0.049,
2014-01,0.061,
2014-04,0.059,
2014-07,0.063,
