"",BBNZ1.Q.DE.S.H.0024.A,BBNZ1.Q.DE.S.H.0024.A_FLAGS
"",Germany / National accounts / Unit labor costs per unit on an hourly basis / Whole economy / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:38:10,
1991-01,78.51,
1991-04,82.26,
1991-07,82.83,
1991-10,83.64,
1992-01,84.06,
1992-04,87.01,
1992-07,89.38,
1992-10,89.25,
1993-01,89.88,
1993-04,91.37,
1993-07,90.94,
1993-10,91.96,
1994-01,91.64,
1994-04,91.55,
1994-07,91.38,
1994-10,91.99,
1995-01,92.56,
1995-04,93.85,
1995-07,94.25,
1995-10,94.70,
1996-01,95.07,
1996-04,94.05,
1996-07,93.91,
1996-10,94.02,
1997-01,95.24,
1997-04,92.77,
1997-07,92.69,
1997-10,92.99,
1998-01,92.65,
1998-04,93.81,
1998-07,93.87,
1998-10,94.49,
1999-01,94.23,
1999-04,95.42,
1999-07,94.75,
1999-10,94.06,
2000-01,94.34,
2000-04,94.72,
2000-07,95.87,
2000-10,95.95,
2001-01,94.06,
2001-04,94.79,
2001-07,95.32,
2001-10,95.61,
2002-01,95.74,
2002-04,95.18,
2002-07,95.23,
2002-10,95.99,
2003-01,96.85,
2003-04,96.68,
2003-07,96.58,
2003-10,96.45,
2004-01,96.28,
2004-04,96.17,
2004-07,96.18,
2004-10,96.04,
2005-01,97.31,
2005-04,95.50,
2005-07,95.10,
2005-10,95.15,
2006-01,93.86,
2006-04,93.68,
2006-07,93.89,
2006-10,92.51,
2007-01,92.32,
2007-04,92.93,
2007-07,92.83,
2007-10,92.66,
2008-01,93.48,
2008-04,93.63,
2008-07,94.97,
2008-10,97.88,
2009-01,102.23,
2009-04,101.86,
2009-07,101.35,
2009-10,100.67,
2010-01,101.25,
2010-04,99.61,
2010-07,99.64,
2010-10,99.57,
2011-01,99.55,
2011-04,100.34,
2011-07,100.46,
2011-10,101.41,
2012-01,101.72,
2012-04,103.50,
2012-07,104.18,
2012-10,104.78,
2013-01,105.90,
2013-04,105.35,
2013-07,105.74,
2013-10,106.29,
2014-01,106.68,
2014-04,107.42,
2014-07,107.79,
2014-10,108.13,
