"",BBK01.OELB08T,BBK01.OELB08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:32,
2002-01,1.707,
2002-04,1.739,
2002-07,1.761,
2002-10,1.787,
2003-01,1.796,
2003-04,1.820,
2003-07,1.834,
2003-10,1.866,
2004-01,1.877,
2004-04,1.897,
2004-07,1.925,
2004-10,2.010,
2005-01,1.998,
2005-04,2.011,
2005-07,2.027,
2005-10,2.051,
2006-01,2.045,
2006-04,2.061,
2006-07,2.090,
2006-10,2.075,
2007-01,2.079,
2007-04,2.095,
2007-07,2.098,
2007-10,2.101,
2008-01,2.094,
2008-04,2.109,
2008-07,2.115,
2008-10,2.137,
2009-01,2.144,
2009-04,2.185,
2009-07,2.224,
2009-10,2.272,
2010-01,2.277,
2010-04,2.315,
2010-07,2.333,
2010-10,2.342,
2011-01,2.361,
2011-04,2.384,
2011-07,2.425,
2011-10,2.454,
2012-01,2.476,
2012-04,2.711,
2012-07,2.740,
2012-10,2.770,
2013-01,2.798,
2013-04,2.802,
2013-07,2.841,
2013-10,2.874,
2014-01,2.882,
2014-04,2.925,
2014-07,2.905,
