"",BBFB1.Q.N.DE.A7.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.A7.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:12,
1991-01,84.474,
1991-04,8.917,
1991-07,23.173,
1991-10,162.808,
1992-01,192.489,
1992-04,-125.587,
1992-07,176.580,
1992-10,20.696,
1993-01,-6.389,
1993-04,289.460,
1993-07,-161.302,
1993-10,302.272,
1994-01,184.019,
1994-04,378.770,
1994-07,244.365,
1994-10,261.536,
1995-01,68.456,
1995-04,8.171,
1995-07,606.688,
1995-10,360.814,
1996-01,421.088,
1996-04,724.098,
1996-07,6.991,
1996-10,552.162,
1997-01,452.121,
1997-04,-133.724,
1997-07,-172.854,
1997-10,401.874,
1998-01,690.131,
1998-04,566.239,
1998-07,443.196,
1998-10,-357.614,
1999-01,165.454,
1999-04,331.718,
1999-07,575.561,
1999-10,405.031,
2000-01,396.750,
2000-04,169.594,
2000-07,658.360,
2000-10,-189.909,
2001-01,316.348,
2001-04,150.545,
2001-07,-796.632,
2001-10,-89.937,
2002-01,-74.748,
2002-04,110.733,
2002-07,-7.260,
2002-10,-73.121,
2003-01,-168.986,
2003-04,-421.393,
2003-07,-247.419,
2003-10,-50.695,
2004-01,-345.717,
2004-04,136.432,
2004-07,-492.797,
2004-10,617.396,
2005-01,-452.013,
2005-04,-79.478,
2005-07,-440.209,
2005-10,538.673,
2006-01,108.237,
2006-04,142.113,
2006-07,183.514,
2006-10,-55.653,
2007-01,-624.523,
2007-04,-30.198,
2007-07,323.765,
2007-10,90.176,
2008-01,99.320,
2008-04,162.025,
2008-07,338.237,
2008-10,-100.808,
2009-01,214.980,
2009-04,35.921,
2009-07,200.689,
2009-10,119.907,
2010-01,432.757,
2010-04,139.742,
2010-07,528.400,
2010-10,719.283,
2011-01,457.062,
2011-04,374.470,
2011-07,357.530,
2011-10,1919.609,
2012-01,188.437,
2012-04,56.410,
2012-07,353.447,
2012-10,404.940,
2013-01,539.329,
2013-04,1303.101,
2013-07,1055.667,
2013-10,365.395,
2014-01,546.326,Provisional value
2014-04,1016.605,Provisional value
2014-07,216.574,Provisional value
2014-10,723.737,Provisional value
