"",BBSF2.M.1.S.I0015.TOT01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.TOT01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net sales receipts / Private non-profit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:41,
1993-04,21,
1993-05,21,
1993-06,8,
1993-07,158,
1993-08,5,
1993-09,-6,
1993-10,14,
1993-11,60,
1993-12,72,
1994-01,253,
1994-02,43,
1994-03,89,
1994-04,148,
1994-05,42,
1994-06,58,
1994-07,44,
1994-08,48,
1994-09,89,
1994-10,30,
1994-11,29,
1994-12,189,
1995-01,110,
1995-02,124,
1995-03,61,
1995-04,36,
1995-05,19,
1995-06,9,
1995-07,55,
1995-08,31,
1995-09,84,
1995-10,25,
1995-11,42,
1995-12,420,
1996-01,119,
1996-02,93,
1996-03,63,
1996-04,45,
1996-05,25,
1996-06,152,
1996-07,302,
1996-08,95,
1996-09,106,
1996-10,152,
1996-11,86,
1996-12,227,
1997-01,188,
1997-02,251,
1997-03,71,
1997-04,38,
1997-05,21,
1997-06,63,
1997-07,135,
1997-08,120,
1997-09,221,
1997-10,33,
1997-11,80,
1997-12,205,
1998-01,244,
1998-02,274,
1998-03,203,
1998-04,129,
1998-05,109,
1998-06,105,
1998-07,329,
1998-08,357,
1998-09,196,
1998-10,198,
1998-11,75,
1998-12,333,
1999-01,294,
1999-02,483,
1999-03,242,
1999-04,190,
1999-05,202,
1999-06,117,
1999-07,361,
1999-08,189,
1999-09,148,
1999-10,83,
1999-11,47,
1999-12,486,
2000-01,745,
2000-02,275,
2000-03,253,
2000-04,157,
2000-05,75,
2000-06,264,
2000-07,140,
2000-08,221,
2000-09,184,
2000-10,115,
2000-11,28,
2000-12,267,
2001-01,200,
2001-02,659,
2001-03,162,
2001-04,81,
2001-05,247,
2001-06,138,
2001-07,530,
2001-08,1,
2001-09,63,
2001-10,190,
2001-11,424,
2001-12,150,
2002-01,403,
2002-02,98,
2002-03,136,
2002-04,427,
2002-05,33,
2002-06,-132,
2002-07,-106,
2002-08,148,
2002-09,100,
2002-10,8,
2002-11,146,
2002-12,406,
2003-01,168,
2003-02,156,
2003-03,1660,
2003-04,40,
2003-05,34,
2003-06,-142,
2003-07,-30,
2003-08,-6,
2003-09,70,
2003-10,413,
2003-11,-269,
2003-12,604,
2004-01,-8,
2004-02,263,
2004-03,119,
2004-04,-38,
2004-05,106,
2004-06,-1141,
2004-07,68,
2004-08,101,
2004-09,-78,
2004-10,-632,
2004-11,-423,
2004-12,2371,
2005-01,18,
2005-02,61,
2005-03,139,
2005-04,-399,
2005-05,-62,
2005-06,42,
2005-07,4,
2005-08,52,
2005-09,-1609,
2005-10,73,
2005-11,-17,
2005-12,430,
2006-01,-294,
2006-02,117,
2006-03,180,
2006-04,-7,
2006-05,1717,
2006-06,3170,
2006-07,-298,
2006-08,-5,
2006-09,107,
2006-10,14,
2006-11,-91,
2006-12,362,
2007-01,157,
2007-02,1889,
2007-03,-19,
2007-04,-152,
2007-05,-10,
2007-06,-268,
2007-07,272,
2007-08,65,
2007-09,-628,
2007-10,-25,
2007-11,68,
2007-12,163,
2008-01,-1437,
2008-02,62,
2008-03,443,
2008-04,849,
2008-05,-129,
2008-06,127,
2008-07,-28,
2008-08,-82,
2008-09,-136,
2008-10,-574,
2008-11,423,
2008-12,-135,
2009-01,4,
2009-02,247,
2009-03,542,
2009-04,230,
2009-05,803,
2009-06,791,
2009-07,1394,
2009-08,-177,
2009-09,3348,
2009-10,944,
2009-11,-179,
2009-12,270,
2010-01,776,
2010-02,-89,
2010-03,556,
2010-04,1167,
2010-05,264,
2010-06,57,
2010-07,400,
2010-08,96,
2010-09,-101,
2010-10,151,
2010-11,0,
2010-12,535,
2011-01,228,
2011-02,-125,
2011-03,329,
2011-04,274,
2011-05,-1,
2011-06,89,
2011-07,101,
2011-08,441,
2011-09,617,
2011-10,164,
2011-11,63,
2011-12,304,
2012-01,282,
2012-02,157,
2012-03,-40,
2012-04,-33,
2012-05,-24,
2012-06,69,
2012-07,72,
2012-08,29,
2012-09,145,
2012-10,-124,
2012-11,-91,
2012-12,407,
2013-01,1388,
2013-02,219,
2013-03,378,
2013-04,213,
2013-05,271,
2013-06,1459,
2013-07,696,
2013-08,-45,
2013-09,-222,
2013-10,59,
2013-11,81,
2013-12,3017,
2014-01,168,
2014-02,196,
2014-03,114,
2014-04,-8,
2014-05,208,
2014-06,142,
2014-07,117,
2014-08,182,
2014-09,266,
2014-10,266,
2014-11,20,
