"",BBFB1.Q.N.DE.BR.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.BR.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Brazil,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:41,
1991-01,-0.077,
1991-04,-0.044,
1991-07,0.095,
1991-10,-0.038,
1992-01,-0.025,
1992-04,-0.342,
1992-07,-0.005,
1992-10,11.624,
1993-01,-0.172,
1993-04,0.147,
1993-07,-0.025,
1993-10,-0.058,
1994-01,-0.781,
1994-04,-0.061,
1994-07,-0.011,
1994-10,-0.490,
1995-01,-0.234,
1995-04,-,Nothing exists
1995-07,-0.040,
1995-10,-0.059,
1996-01,-0.015,
1996-04,-0.015,
1996-07,-0.137,
1996-10,-0.404,
1997-01,-0.011,
1997-04,-0.019,
1997-07,-0.066,
1997-10,0.805,
1998-01,-0.005,
1998-04,0.005,
1998-07,-0.071,
1998-10,0.017,
1999-01,-0.003,
1999-04,-0.690,
1999-07,-0.050,
1999-10,-0.266,
2000-01,-0.034,
2000-04,-0.028,
2000-07,-0.092,
2000-10,-0.036,
2001-01,0.005,
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,-0.020,
2002-01,-0.080,
2002-04,-0.022,
2002-07,-0.118,
2002-10,-,Nothing exists
2003-01,0.012,
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-0.038,
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-0.359,
2004-10,0.115,
2005-01,-0.038,
2005-04,-0.025,
2005-07,-0.053,
2005-10,-,Nothing exists
2006-01,-,Nothing exists
2006-04,0.520,
2006-07,0.655,
2006-10,-6.950,
2007-01,-,Nothing exists
2007-04,0.204,
2007-07,0.925,
2007-10,0.281,
2008-01,0.743,
2008-04,0.165,
2008-07,-0.620,
2008-10,-0.390,
2009-01,0.020,
2009-04,-0.235,
2009-07,-,Nothing exists
2009-10,-,Nothing exists
2010-01,-,Nothing exists
2010-04,-0.436,
2010-07,-,Nothing exists
2010-10,-0.028,
2011-01,-0.030,
2011-04,-,Nothing exists
2011-07,-,Nothing exists
2011-10,-,Nothing exists
2012-01,-0.057,
2012-04,-0.201,
2012-07,-,Nothing exists
2012-10,-,Nothing exists
2013-01,-3.070,
2013-04,41.000,
2013-07,-153.000,
2013-10,-9.000,
2014-01,17.040,Provisional value
2014-04,-24.000,Provisional value
2014-07,62.000,Provisional value
2014-10,58.000,Provisional value
