"",BBK01.OEAJ02I,BBK01.OEAJ02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:05,
2002-01,7.809,
2002-04,6.668,
2002-07,7.598,
2002-10,8.705,
2003-01,7.652,
2003-04,8.560,
2003-07,8.285,
2003-10,7.968,
2004-01,8.288,
2004-04,8.637,
2004-07,8.900,
2004-10,9.652,
2005-01,10.021,
2005-04,9.723,
2005-07,10.010,
2005-10,10.651,
2006-01,10.058,
2006-04,10.062,
2006-07,10.508,
2006-10,10.642,
2007-01,9.919,
2007-04,10.862,
2007-07,10.538,
2007-10,10.765,
2008-01,9.626,
2008-04,11.116,
2008-07,9.986,
2008-10,12.030,
2009-01,14.578,
2009-04,15.974,
2009-07,18.275,
2009-10,15.847,
2010-01,17.325,
2010-04,15.907,
2010-07,15.650,
2010-10,16.269,
2011-01,15.426,
2011-04,15.617,
2011-07,17.149,
2011-10,15.624,
2012-01,17.355,
2012-04,17.902,
2012-07,17.962,
2012-10,19.736,
2013-01,21.209,
2013-04,21.691,
2013-07,20.962,
2013-10,22.472,
2014-01,21.568,
2014-04,22.466,
2014-07,23.195,
