"",BBFN1.M.DE.N.1.L.CZ.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CZ.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Czech Republic,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:36,
1995-01,0.010,
1995-02,0.008,
1995-03,0.007,
1995-04,0.009,
1995-05,0.010,
1995-06,0.009,
1995-07,0.010,
1995-08,0.010,
1995-09,0.015,
1995-10,0.016,
1995-11,0.020,
1995-12,0.011,
1996-01,0.015,
1996-02,0.019,
1996-03,0.019,
1996-04,0.018,
1996-05,0.021,
1996-06,0.017,
1996-07,0.014,
1996-08,0.015,
1996-09,0.015,
1996-10,0.017,
1996-11,0.023,
1996-12,0.026,
1997-01,0.030,
1997-02,0.018,
1997-03,0.024,
1997-04,0.033,
1997-05,0.042,
1997-06,0.042,
1997-07,0.045,
1997-08,0.041,
1997-09,0.046,
1997-10,0.047,
1997-11,0.044,
1997-12,0.056,
1998-01,0.060,
1998-02,0.069,
1998-03,0.061,
1998-04,0.064,
1998-05,0.068,
1998-06,0.075,
1998-07,0.073,
1998-08,0.077,
1998-09,0.078,
1998-10,0.075,
1998-11,0.071,
1998-12,0.064,
1999-01,0.051,
1999-02,0.084,
1999-03,0.105,
1999-04,0.102,
1999-05,0.086,
1999-06,0.084,
1999-07,0.085,
1999-08,0.095,
1999-09,0.116,
1999-10,0.087,
1999-11,0.082,
1999-12,0.116,
2000-01,0.139,
2000-02,0.140,
2000-03,0.170,
2000-04,0.130,
2000-05,0.163,
2000-06,0.178,
2000-07,0.192,
2000-08,0.182,
2000-09,0.211,
2000-10,0.165,
2000-11,0.145,
2000-12,0.246,
2001-01,0.235,
2001-02,0.225,
2001-03,0.261,
2001-04,0.269,
2001-05,0.244,
2001-06,0.292,
2001-07,0.296,
2001-08,0.282,
2001-09,0.297,
2001-10,0.262,
2001-11,0.251,
2001-12,0.352,
2002-01,0.477,
2002-02,0.459,
2002-03,0.526,
2002-04,0.574,
2002-05,0.590,
2002-06,0.652,
2002-07,0.589,
2002-08,0.497,
2002-09,0.570,
2002-10,0.559,
2002-11,0.471,
2002-12,0.511,
2003-01,0.807,
2003-02,0.998,
2003-03,1.101,
2003-04,1.154,
2003-05,1.178,
2003-06,1.140,
2003-07,0.948,
2003-08,0.924,
2003-09,0.857,
2003-10,0.982,
2003-11,1.165,
2003-12,1.220,
2004-01,1.292,
2004-02,1.387,
2004-03,1.461,
2004-04,1.362,
2004-05,1.395,
2004-06,1.469,
2004-07,1.203,
2004-08,1.277,
2004-09,1.189,
2004-10,1.394,
2004-11,1.503,
2004-12,1.665,
2005-01,1.734,
2005-02,1.938,
2005-03,1.986,
2005-04,1.873,
2005-05,2.099,
2005-06,1.590,
2005-07,2.059,
2005-08,2.137,
2005-09,1.873,
2005-10,1.979,
2005-11,2.265,
2005-12,2.144,
2006-01,2.450,
2006-02,2.461,
2006-03,2.674,
2006-04,2.735,
2006-05,2.865,
2006-06,2.458,
2006-07,3.038,
2006-08,3.094,
2006-09,3.106,
2006-10,2.708,
2006-11,3.616,
2006-12,3.416,
2007-01,3.636,
2007-02,3.799,
2007-03,4.096,
2007-04,3.832,
2007-05,4.057,
2007-06,3.762,
2007-07,3.861,
2007-08,3.909,
2007-09,4.162,
2007-10,3.561,
2007-11,3.919,
2007-12,3.934,
2008-01,3.861,
2008-02,3.359,
2008-03,3.349,
2008-04,2.925,
2008-05,2.936,
2008-06,2.888,
2008-07,2.807,
2008-08,2.497,
2008-09,2.450,
2008-10,2.796,
2008-11,3.115,
2008-12,3.105,
2009-01,2.631,
2009-02,2.602,
2009-03,2.381,
2009-04,2.415,
2009-05,2.515,
2009-06,2.430,
2009-07,2.312,
2009-08,2.388,
2009-09,2.537,
2009-10,2.493,
2009-11,2.798,
2009-12,2.795,
2010-01,2.955,
2010-02,2.902,
2010-03,2.820,
2010-04,2.694,
2010-05,2.643,
2010-06,1.832,
2010-07,1.872,
2010-08,2.343,
2010-09,2.359,
2010-10,2.466,
2010-11,2.535,
2010-12,2.682,
2011-01,3.005,
2011-02,3.137,
2011-03,3.247,
2011-04,3.338,
2011-05,3.405,
2011-06,2.591,
2011-07,2.597,
2011-08,2.574,
2011-09,2.381,
2011-10,2.523,
2011-11,2.259,
2011-12,2.022,
2012-01,1.802,
2012-02,2.163,
2012-03,1.769,
2012-04,1.742,
2012-05,3.969,
2012-06,3.566,
2012-07,3.539,
2012-08,3.678,
2012-09,3.188,
2012-10,3.371,
2012-11,4.447,
2012-12,2.712,
2013-01,2.247,
2013-02,4.622,
2013-03,4.573,
2013-04,4.456,
2013-05,4.467,
2013-06,4.202,
2013-07,5.000,
2013-08,5.469,
2013-09,5.522,
2013-10,5.803,
2013-11,5.835,
2013-12,5.997,
2014-01,5.924,
2014-02,5.846,
2014-03,6.154,
2014-04,6.172,
2014-05,3.859,
2014-06,4.143,
2014-07,3.969,
2014-08,4.199,
2014-09,4.246,
2014-10,4.452,
2014-11,4.564,
2014-12,4.624,
