"",BBK01.OEAC30O,BBK01.OEAC30O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:46,
2002-01,0.887,
2002-04,0.899,
2002-07,0.868,
2002-10,0.799,
2003-01,0.834,
2003-04,0.820,
2003-07,0.779,
2003-10,0.699,
2004-01,0.742,
2004-04,0.734,
2004-07,0.735,
2004-10,0.672,
2005-01,0.712,
2005-04,0.683,
2005-07,0.671,
2005-10,0.663,
2006-01,0.713,
2006-04,0.709,
2006-07,0.701,
2006-10,0.628,
2007-01,0.672,
2007-04,0.658,
2007-07,0.668,
2007-10,0.636,
2008-01,0.662,
2008-04,0.664,
2008-07,0.624,
2008-10,0.600,
2009-01,0.645,
2009-04,0.626,
2009-07,0.600,
2009-10,0.539,
2010-01,0.556,
2010-04,0.524,
2010-07,0.548,
2010-10,0.509,
2011-01,0.539,
2011-04,0.535,
2011-07,0.513,
2011-10,0.444,
2012-01,0.495,
2012-04,0.500,
2012-07,0.477,
2012-10,0.466,
2013-01,0.525,
2013-04,0.506,
2013-07,0.467,
2013-10,0.425,
2014-01,0.455,
2014-04,0.443,
2014-07,0.447,
