"",BBK01.OEHL04N,BBK01.OEHL04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:49,
2002-01,9.255,
2002-04,9.287,
2002-07,9.393,
2002-10,9.387,
2003-01,9.216,
2003-04,9.026,
2003-07,8.553,
2003-10,7.951,
2004-01,7.624,
2004-04,7.311,
2004-07,7.282,
2004-10,7.172,
2005-01,6.964,
2005-04,6.794,
2005-07,6.331,
2005-10,6.431,
2006-01,6.613,
2006-04,6.647,
2006-07,7.004,
2006-10,7.299,
2007-01,7.891,
2007-04,8.371,
2007-07,9.305,
2007-10,10.163,
2008-01,11.145,
2008-04,11.800,
2008-07,12.714,
2008-10,13.831,
2009-01,11.027,
2009-04,8.642,
2009-07,6.891,
2009-10,5.578,
2010-01,4.996,
2010-04,4.567,
2010-07,4.489,
2010-10,4.463,
2011-01,4.436,
2011-04,4.573,
2011-07,4.711,
2011-10,4.809,
2012-01,4.698,
2012-04,4.339,
2012-07,3.974,
2012-10,3.446,
2013-01,3.183,
2013-04,2.913,
2013-07,2.803,
2013-10,2.664,
2014-01,2.551,
2014-04,2.481,
2014-07,2.442,
