"",BBK01.OEBI01U,BBK01.OEBI01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:16,
2002-01,4.586,
2002-04,4.557,
2002-07,4.644,
2002-10,4.779,
2003-01,4.588,
2003-04,4.512,
2003-07,4.544,
2003-10,4.763,
2004-01,4.624,
2004-04,4.551,
2004-07,4.668,
2004-10,4.626,
2005-01,5.592,
2005-04,5.584,
2005-07,5.677,
2005-10,5.886,
2006-01,5.812,
2006-04,5.764,
2006-07,5.845,
2006-10,6.177,
2007-01,6.243,
2007-04,6.646,
2007-07,6.668,
2007-10,7.228,
2008-01,7.104,
2008-04,7.237,
2008-07,7.453,
2008-10,7.895,
2009-01,7.791,
2009-04,7.934,
2009-07,8.227,
2009-10,8.134,
2010-01,8.120,
2010-04,8.066,
2010-07,8.166,
2010-10,8.394,
2011-01,8.452,
2011-04,8.587,
2011-07,8.832,
2011-10,9.158,
2012-01,9.191,
2012-04,9.088,
2012-07,8.864,
2012-10,8.964,
2013-01,8.590,
2013-04,8.722,
2013-07,8.785,
2013-10,8.816,
2014-01,8.909,
2014-04,9.034,
2014-07,9.028,
