"",BBK01.OEYB17O,BBK01.OEYB17O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:44,
2002-01,14.689,
2002-04,14.814,
2002-07,15.063,
2002-10,15.551,
2003-01,15.390,
2003-04,15.939,
2003-07,12.429,
2003-10,13.098,
2004-01,13.303,
2004-04,13.796,
2004-07,14.001,
2004-10,14.160,
2005-01,14.162,
2005-04,14.252,
2005-07,14.415,
2005-10,14.603,
2006-01,14.772,
2006-04,14.933,
2006-07,15.174,
2006-10,15.147,
2007-01,15.241,
2007-04,15.302,
2007-07,15.368,
2007-10,15.273,
2008-01,15.266,
2008-04,15.253,
2008-07,15.289,
2008-10,15.133,
2009-01,14.901,
2009-04,14.806,
2009-07,14.785,
2009-10,14.657,
2010-01,14.466,
2010-04,13.823,
2010-07,13.690,
2010-10,13.506,
2011-01,13.386,
2011-04,13.227,
2011-07,13.109,
2011-10,12.917,
2012-01,13.008,
2012-04,12.696,
2012-07,12.624,
2012-10,12.460,
2013-01,12.197,
2013-04,11.940,
2013-07,11.850,
2013-10,11.699,
2014-01,11.576,
2014-04,11.384,
2014-07,11.320,
