"",BBK01.OEHI03R,BBK01.OEHI03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:41,
2002-01,0.495,
2002-04,0.496,
2002-07,0.494,
2002-10,0.470,
2003-01,0.469,
2003-04,0.445,
2003-07,0.451,
2003-10,0.429,
2004-01,0.457,
2004-04,0.456,
2004-07,0.446,
2004-10,0.403,
2005-01,0.390,
2005-04,0.378,
2005-07,0.374,
2005-10,0.360,
2006-01,0.369,
2006-04,0.382,
2006-07,0.370,
2006-10,0.350,
2007-01,0.322,
2007-04,0.339,
2007-07,0.363,
2007-10,0.344,
2008-01,0.361,
2008-04,0.376,
2008-07,0.389,
2008-10,0.463,
2009-01,0.416,
2009-04,0.357,
2009-07,0.317,
2009-10,0.281,
2010-01,0.265,
2010-04,0.252,
2010-07,0.278,
2010-10,0.257,
2011-01,0.267,
2011-04,0.277,
2011-07,0.285,
2011-10,0.286,
2012-01,0.245,
2012-04,0.224,
2012-07,0.219,
2012-10,0.191,
2013-01,0.186,
2013-04,0.164,
2013-07,0.158,
2013-10,0.149,
2014-01,0.145,
2014-04,0.134,
2014-07,0.129,
