"",BBK01.OEAG02J,BBK01.OEAG02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:17,
2002-01,0.262,
2002-04,0.264,
2002-07,0.365,
2002-10,0.220,
2003-01,0.130,
2003-04,0.130,
2003-07,0.095,
2003-10,0.341,
2004-01,0.079,
2004-04,0.078,
2004-07,0.085,
2004-10,0.084,
2005-01,0.228,
2005-04,0.080,
2005-07,0.079,
2005-10,0.113,
2006-01,0.053,
2006-04,0.053,
2006-07,0.054,
2006-10,0.152,
2007-01,0.052,
2007-04,0.051,
2007-07,0.051,
2007-10,-,Nothing exists
2008-01,0.001,
2008-04,0.107,
2008-07,0.006,
2008-10,0.006,
2009-01,-,Nothing exists
2009-04,0.009,
2009-07,0.001,
2009-10,0.012,
2010-01,-,Nothing exists
2010-04,-,Nothing exists
2010-07,0.001,
2010-10,0.006,
2011-01,-,Nothing exists
2011-04,-,Nothing exists
2011-07,0.002,
2011-10,0.001,
2012-01,-,Nothing exists
2012-04,0.001,
2012-07,0.001,
2012-10,-,Nothing exists
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,0.001,
2013-10,0.001,
2014-01,-,Nothing exists
2014-04,0.001,
2014-07,0.001,
