"",BBK01.OEXO04O,BBK01.OEXO04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:35,
2002-01,-0.301,
2002-04,-0.098,
2002-07,-0.075,
2002-10,-0.199,
2003-01,-0.418,
2003-04,0.077,
2003-07,-0.133,
2003-10,-0.132,
2004-01,-0.315,
2004-04,-0.221,
2004-07,-0.030,
2004-10,-0.020,
2005-01,0.026,
2005-04,0.001,
2005-07,-0.036,
2005-10,0.013,
2006-01,-0.009,
2006-04,0.011,
2006-07,-0.019,
2006-10,0.022,
2007-01,0.129,
2007-04,0.051,
2007-07,0.052,
2007-10,0.094,
2008-01,0.039,
2008-04,-0.008,
2008-07,0.014,
2008-10,0.262,
2009-01,-0.043,
2009-04,-0.019,
2009-07,0.045,
2009-10,-0.145,
2010-01,-0.137,
2010-04,-0.034,
2010-07,-0.028,
2010-10,0.151,
2011-01,0.107,
2011-04,0.009,
2011-07,-0.002,
2011-10,-0.058,
2012-01,-0.098,
2012-04,0.005,
2012-07,-0.034,
2012-10,-0.085,
2013-01,-0.098,
2013-04,-0.080,
2013-07,-0.027,
2013-10,-0.010,
2014-01,-0.020,
2014-04,-0.024,
2014-07,0.090,
