"",BBK01.OEAC57V,BBK01.OEAC57V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:52,
2002-01,7.011,
2002-04,7.002,
2002-07,7.001,
2002-10,6.967,
2003-01,6.975,
2003-04,6.911,
2003-07,8.218,
2003-10,7.865,
2004-01,7.511,
2004-04,7.427,
2004-07,7.442,
2004-10,7.297,
2005-01,7.388,
2005-04,7.313,
2005-07,7.369,
2005-10,7.393,
2006-01,7.418,
2006-04,7.499,
2006-07,7.297,
2006-10,7.277,
2007-01,7.154,
2007-04,7.031,
2007-07,7.055,
2007-10,6.973,
2008-01,6.938,
2008-04,7.189,
2008-07,7.151,
2008-10,7.129,
2009-01,7.046,
2009-04,8.563,
2009-07,8.596,
2009-10,8.225,
2010-01,9.100,
2010-04,8.932,
2010-07,7.856,
2010-10,7.918,
2011-01,8.290,
2011-04,8.227,
2011-07,8.248,
2011-10,8.191,
2012-01,8.187,
2012-04,8.352,
2012-07,8.345,
2012-10,8.460,
2013-01,8.400,
2013-04,8.419,
2013-07,8.437,
2013-10,8.422,
2014-01,8.403,
2014-04,8.156,
2014-07,8.166,
