"",BBSF2.M.1.S.00000.DAC01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.DAC01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Number,
unit,Stueck (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:54:02,
2009-01,67,
2009-02,66,
2009-03,66,
2009-04,65,
2009-05,66,
2009-06,65,
2009-07,66,
2009-08,66,
2009-09,60,
2009-10,60,
2009-11,65,
2009-12,68,
2010-01,67,
2010-02,67,
2010-03,67,
2010-04,66,
2010-05,66,
2010-06,62,
2010-07,63,
2010-08,66,
2010-09,73,
2010-10,73,
2010-11,73,
2010-12,72,
2011-01,70,
2011-02,70,
2011-03,71,
2011-04,72,
2011-05,71,
2011-06,71,
2011-07,71,
2011-08,71,
2011-09,72,
2011-10,71,
2011-11,71,
2011-12,70,
2012-01,69,
2012-02,68,
2012-03,69,
2012-04,70,
2012-05,69,
2012-06,69,
2012-07,70,
2012-08,70,
2012-09,70,
2012-10,70,
2012-11,71,
2012-12,72,
2013-01,73,
2013-02,73,
2013-03,73,
2013-04,74,
2013-05,75,
2013-06,76,
2013-07,77,
2013-08,77,
2013-09,77,
2013-10,78,
2013-11,78,
2013-12,78,
2014-01,78,
2014-02,78,
2014-03,78,
2014-04,77,
2014-05,77,
2014-06,86,
2014-07,90,
2014-08,88,
2014-09,89,
2014-10,89,
2014-11,89,
