"",BBK01.OEXB17P,BBK01.OEXB17P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:28,
2002-01,0.851,
2002-04,0.876,
2002-07,0.911,
2002-10,0.941,
2003-01,0.967,
2003-04,0.999,
2003-07,1.000,
2003-10,0.890,
2004-01,0.907,
2004-04,0.914,
2004-07,0.924,
2004-10,0.913,
2005-01,0.923,
2005-04,0.941,
2005-07,0.976,
2005-10,0.998,
2006-01,1.024,
2006-04,1.036,
2006-07,1.051,
2006-10,1.082,
2007-01,1.109,
2007-04,1.082,
2007-07,1.138,
2007-10,1.240,
2008-01,1.262,
2008-04,2.017,
2008-07,2.030,
2008-10,2.024,
2009-01,2.011,
2009-04,1.998,
2009-07,1.987,
2009-10,1.983,
2010-01,1.981,
2010-04,1.981,
2010-07,1.995,
2010-10,1.997,
2011-01,1.992,
2011-04,2.009,
2011-07,2.041,
2011-10,2.045,
2012-01,2.060,
2012-04,2.074,
2012-07,2.092,
2012-10,2.089,
2013-01,2.120,
2013-04,2.107,
2013-07,2.099,
2013-10,2.079,
2014-01,2.044,
2014-04,2.040,
2014-07,2.022,
