"",BBK01.OECL01H,BBK01.OECL01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:19,
2002-01,19.738,
2002-04,19.436,
2002-07,18.560,
2002-10,18.969,
2003-01,19.180,
2003-04,19.238,
2003-07,21.585,
2003-10,21.001,
2004-01,20.894,
2004-04,22.733,
2004-07,22.834,
2004-10,23.593,
2005-01,32.557,
2005-04,32.878,
2005-07,32.456,
2005-10,32.915,
2006-01,32.310,
2006-04,32.040,
2006-07,31.080,
2006-10,31.425,
2007-01,31.741,
2007-04,32.890,
2007-07,33.639,
2007-10,35.497,
2008-01,35.996,
2008-04,36.815,
2008-07,37.765,
2008-10,40.038,
2009-01,40.167,
2009-04,41.155,
2009-07,40.655,
2009-10,40.519,
2010-01,40.036,
2010-04,39.824,
2010-07,39.146,
2010-10,39.390,
2011-01,39.167,
2011-04,39.133,
2011-07,38.834,
2011-10,39.090,
2012-01,39.881,
2012-04,40.014,
2012-07,40.287,
2012-10,40.548,
2013-01,40.076,
2013-04,40.855,
2013-07,39.845,
2013-10,40.265,
2014-01,39.874,
2014-04,39.987,
2014-07,39.870,
