"",BBK01.OEAE29U,BBK01.OEAE29U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:28,
2002-01,2.682,
2002-04,2.706,
2002-07,2.687,
2002-10,2.708,
2003-01,2.724,
2003-04,2.738,
2003-07,2.790,
2003-10,2.790,
2004-01,2.776,
2004-04,2.430,
2004-07,2.444,
2004-10,2.427,
2005-01,2.428,
2005-04,2.390,
2005-07,2.395,
2005-10,2.378,
2006-01,2.378,
2006-04,2.390,
2006-07,2.450,
2006-10,2.472,
2007-01,2.496,
2007-04,2.472,
2007-07,2.471,
2007-10,2.496,
2008-01,2.489,
2008-04,2.483,
2008-07,2.486,
2008-10,2.489,
2009-01,2.983,
2009-04,2.989,
2009-07,2.961,
2009-10,3.017,
2010-01,2.981,
2010-04,2.982,
2010-07,3.023,
2010-10,3.025,
2011-01,2.997,
2011-04,3.010,
2011-07,3.016,
2011-10,3.017,
2012-01,3.018,
2012-04,3.019,
2012-07,3.020,
2012-10,3.037,
2013-01,3.034,
2013-04,3.058,
2013-07,3.036,
2013-10,3.087,
2014-01,3.076,
2014-04,3.104,
2014-07,2.895,
