"",BBK01.OECM01M,BBK01.OECM01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:24,
2002-01,0.255,
2002-04,0.315,
2002-07,0.241,
2002-10,0.209,
2003-01,0.188,
2003-04,0.217,
2003-07,0.201,
2003-10,0.188,
2004-01,0.157,
2004-04,0.183,
2004-07,0.217,
2004-10,0.188,
2005-01,0.190,
2005-04,0.361,
2005-07,0.279,
2005-10,0.220,
2006-01,0.187,
2006-04,0.236,
2006-07,0.257,
2006-10,0.239,
2007-01,0.229,
2007-04,0.235,
2007-07,0.267,
2007-10,0.185,
2008-01,0.166,
2008-04,0.189,
2008-07,0.195,
2008-10,0.517,
2009-01,0.551,
2009-04,0.381,
2009-07,0.397,
2009-10,0.322,
2010-01,0.423,
2010-04,0.596,
2010-07,0.543,
2010-10,0.418,
2011-01,0.342,
2011-04,0.407,
2011-07,0.429,
2011-10,0.328,
2012-01,0.387,
2012-04,0.586,
2012-07,0.805,
2012-10,0.912,
2013-01,0.900,
2013-04,0.938,
2013-07,0.854,
2013-10,0.802,
2014-01,0.808,
2014-04,0.866,
2014-07,0.748,
