"",BBK01.OEAA21S,BBK01.OEAA21S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:02,
2002-01,6.631,
2002-04,6.562,
2002-07,6.437,
2002-10,6.403,
2003-01,6.268,
2003-04,6.270,
2003-07,6.247,
2003-10,6.235,
2004-01,6.183,
2004-04,6.185,
2004-07,6.178,
2004-10,4.761,
2005-01,4.775,
2005-04,4.842,
2005-07,4.776,
2005-10,4.840,
2006-01,4.881,
2006-04,4.966,
2006-07,5.019,
2006-10,5.074,
2007-01,5.151,
2007-04,5.120,
2007-07,5.218,
2007-10,5.354,
2008-01,5.359,
2008-04,5.451,
2008-07,5.542,
2008-10,5.670,
2009-01,5.728,
2009-04,5.832,
2009-07,5.946,
2009-10,6.319,
2010-01,6.353,
2010-04,6.448,
2010-07,6.661,
2010-10,6.954,
2011-01,7.032,
2011-04,7.294,
2011-07,7.472,
2011-10,7.905,
2012-01,8.092,
2012-04,8.372,
2012-07,8.580,
2012-10,8.699,
2013-01,8.833,
2013-04,8.936,
2013-07,9.040,
2013-10,9.209,
2014-01,9.221,
2014-04,9.216,
2014-07,9.331,
