"",BBK01.OEAC16R,BBK01.OEAC16R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:21,
2002-01,1.815,
2002-04,1.816,
2002-07,1.870,
2002-10,1.897,
2003-01,1.912,
2003-04,1.849,
2003-07,1.809,
2003-10,1.650,
2004-01,1.657,
2004-04,1.706,
2004-07,1.708,
2004-10,1.614,
2005-01,1.554,
2005-04,1.586,
2005-07,1.510,
2005-10,1.391,
2006-01,1.311,
2006-04,1.315,
2006-07,1.207,
2006-10,1.149,
2007-01,1.187,
2007-04,1.207,
2007-07,1.153,
2007-10,1.131,
2008-01,1.135,
2008-04,1.069,
2008-07,1.043,
2008-10,1.069,
2009-01,1.066,
2009-04,1.059,
2009-07,1.065,
2009-10,1.011,
2010-01,1.000,
2010-04,1.015,
2010-07,0.911,
2010-10,0.836,
2011-01,0.896,
2011-04,0.894,
2011-07,0.833,
2011-10,0.848,
2012-01,0.858,
2012-04,0.924,
2012-07,0.869,
2012-10,0.875,
2013-01,0.943,
2013-04,0.918,
2013-07,0.848,
2013-10,0.843,
2014-01,0.878,
2014-04,0.909,
2014-07,0.831,
