"",BBK01.OELB01J,BBK01.OELB01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:37,
2002-01,1.372,
2002-04,1.385,
2002-07,1.397,
2002-10,1.391,
2003-01,1.390,
2003-04,1.400,
2003-07,1.400,
2003-10,1.409,
2004-01,1.396,
2004-04,1.412,
2004-07,1.418,
2004-10,1.509,
2005-01,1.495,
2005-04,1.502,
2005-07,1.519,
2005-10,1.523,
2006-01,1.551,
2006-04,1.566,
2006-07,1.573,
2006-10,1.499,
2007-01,1.499,
2007-04,1.492,
2007-07,1.487,
2007-10,1.493,
2008-01,1.495,
2008-04,1.496,
2008-07,1.515,
2008-10,1.515,
2009-01,1.507,
2009-04,1.521,
2009-07,1.540,
2009-10,1.532,
2010-01,1.529,
2010-04,1.529,
2010-07,1.543,
2010-10,1.575,
2011-01,1.562,
2011-04,1.597,
2011-07,1.611,
2011-10,1.627,
2012-01,1.659,
2012-04,2.245,
2012-07,2.265,
2012-10,2.320,
2013-01,2.314,
2013-04,2.333,
2013-07,2.341,
2013-10,2.359,
2014-01,2.129,
2014-04,2.160,
2014-07,2.164,
