"",BBK01.OEAE36I,BBK01.OEAE36I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:32,
2002-01,2.969,
2002-04,2.790,
2002-07,2.440,
2002-10,2.292,
2003-01,2.263,
2003-04,2.309,
2003-07,2.338,
2003-10,2.212,
2004-01,2.218,
2004-04,2.206,
2004-07,1.686,
2004-10,1.646,
2005-01,1.697,
2005-04,1.705,
2005-07,2.136,
2005-10,1.846,
2006-01,1.882,
2006-04,1.923,
2006-07,1.893,
2006-10,2.138,
2007-01,2.078,
2007-04,2.088,
2007-07,2.052,
2007-10,2.047,
2008-01,1.947,
2008-04,1.999,
2008-07,2.141,
2008-10,1.778,
2009-01,1.571,
2009-04,1.246,
2009-07,1.611,
2009-10,1.489,
2010-01,1.716,
2010-04,1.721,
2010-07,1.710,
2010-10,1.886,
2011-01,1.989,
2011-04,1.938,
2011-07,1.863,
2011-10,1.852,
2012-01,1.827,
2012-04,1.827,
2012-07,1.838,
2012-10,1.643,
2013-01,1.589,
2013-04,1.402,
2013-07,1.454,
2013-10,1.538,
2014-01,1.547,
2014-04,1.438,
2014-07,1.434,
