"",BBEX3.M.JPY.USD.CA.AC.A02,BBEX3.M.JPY.USD.CA.AC.A02_FLAGS
"",Exchange rates for the US dollar in Japan / USD 1 = JPY ... (middle),
unit,JPY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:22,
1980-01,238.04,
1980-02,244.07,
1980-03,248.59,
1980-04,251.94,
1980-05,228.34,
1980-06,218.15,
1980-07,220.87,
1980-08,224.46,
1980-09,215.07,
1980-10,209.33,
1980-11,212.99,
1980-12,210.08,
1981-01,202.21,
1981-02,205.92,
1981-03,208.98,
1981-04,215.32,
1981-05,220.87,
1981-06,224.47,
1981-07,232.17,
1981-08,234.07,
1981-09,230.09,
1981-10,231.57,
1981-11,224.03,
1981-12,219.05,
1982-01,224.66,
1982-02,235.21,
1982-03,240.82,
1982-04,244.97,
1982-05,237.09,
1982-06,251.09,
1982-07,255.18,
1982-08,258.84,
1982-09,263.01,
1982-10,271.44,
1982-11,265.10,
1982-12,242.65,
1983-01,232.97,
1983-02,236.25,
1983-03,238.05,
1983-04,237.78,
1983-05,234.78,
1983-06,240.20,
1983-07,240.47,
1983-08,244.32,
1983-09,242.84,
1983-10,232.98,
1983-11,235.28,
1983-12,234.36,
1984-01,233.94,
1984-02,233.70,
1984-03,225.43,
1984-04,225.06,
1984-05,230.77,
1984-06,233.33,
1984-07,242.92,
1984-08,242.40,
1984-09,245.35,
1984-10,246.89,
1984-11,243.42,
1984-12,247.99,
1985-01,254.17,
1985-02,260.38,
1985-03,258.65,
1985-04,251.76,
1985-05,251.59,
1985-06,249.01,
1985-07,241.76,
1985-08,237.26,
1985-09,237.07,
1985-10,214.85,
1985-11,203.69,
1985-12,202.83,
1986-01,200.19,
1986-02,184.66,
1986-03,179.03,
1986-04,175.60,
1986-05,166.97,
1986-06,167.96,
1986-07,158.64,
1986-08,154.00,
1986-09,154.76,
1986-10,156.08,
1986-11,162.78,
1986-12,162.26,
1987-01,154.77,
1987-02,153.50,
1987-03,151.59,
1987-04,142.97,
1987-05,140.55,
1987-06,144.58,
1987-07,150.22,
1987-08,147.65,
1987-09,142.96,
1987-10,143.59,
1987-11,135.30,
1987-12,128.41,
1988-01,127.68,
1988-02,129.23,
1988-03,127.28,
1988-04,124.98,
1988-05,124.80,
1988-06,127.20,
1988-07,133.15,
1988-08,133.67,
1988-09,134.50,
1988-10,129.02,
1988-11,123.25,
1988-12,123.63,
1989-01,127.28,
1989-02,127.87,
1989-03,130.41,
1989-04,132.11,
1989-05,138.46,
1989-06,143.72,
1989-07,140.80,
1989-08,141.14,
1989-09,145.15,
1989-10,141.82,
1989-11,143.58,
1989-12,143.66,
1990-01,145.09,
1990-02,145.51,
1990-03,153.11,
1990-04,158.50,
1990-05,153.62,
1990-06,153.77,
1990-07,149.34,
1990-08,147.38,
1990-09,139.04,
1990-10,129.83,
1990-11,129.07,
1990-12,133.71,
1991-01,133.75,
1991-02,130.49,
1991-03,137.15,
1991-04,137.11,
1991-05,138.04,
1991-06,139.77,
1991-07,138.00,
1991-08,136.84,
1991-09,134.58,
1991-10,130.77,
1991-11,129.70,
1991-12,128.13,
1992-01,125.06,
1992-02,127.49,
1992-03,132.73,
1992-04,133.62,
1992-05,130.64,
1992-06,126.85,
1992-07,125.69,
1992-08,126.35,
1992-09,122.73,
1992-10,121.08,
1992-11,123.81,
1992-12,124.03,
1993-01,124.99,
1993-02,121.14,
1993-03,117.13,
1993-04,112.46,
1993-05,110.26,
1993-06,107.34,
1993-07,107.83,
1993-08,103.68,
1993-09,105.27,
1993-10,106.94,
1993-11,107.81,
1993-12,109.67,
1994-01,111.58,
1994-02,106.25,
1994-03,105.13,
1994-04,103.56,
1994-05,103.99,
1994-06,102.72,
1994-07,98.57,
1994-08,99.87,
1994-09,98.85,
1994-10,98.45,
1994-11,98.00,
1994-12,100.20,
1995-01,99.77,
1995-02,98.33,
1995-03,90.87,
1995-04,83.66,
1995-05,85.16,
1995-06,84.54,
1995-07,87.20,
1995-08,94.61,
1995-09,100.45,
1995-10,100.74,
1995-11,102.01,
1995-12,101.90,
1996-01,105.88,
1996-02,105.72,
1996-03,105.91,
1996-04,107.54,
1996-05,106.53,
1996-06,108.93,
1996-07,109.39,
1996-08,107.81,
1996-09,109.78,
1996-10,112.42,
1996-11,112.29,
1996-12,113.87,
1997-01,118.08,
1997-02,123.07,
1997-03,122.69,
1997-04,125.56,
1997-05,119.06,
1997-06,114.43,
1997-07,115.23,
1997-08,117.96,
1997-09,120.72,
1997-10,121.14,
1997-11,125.34,
1997-12,129.50,
1998-01,129.52,
1998-02,126.06,
1998-03,128.69,
1998-04,131.76,
1998-05,134.99,
1998-06,140.48,
1998-07,140.60,
1998-08,144.55,
1998-09,134.60,
1998-10,121.30,
1998-11,120.55,
1998-12,117.61,
1999-01,113.26,
1999-02,116.69,
