"",BBK01.OEAH38M,BBK01.OEAH38M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:51,
2002-01,2.069,
2002-04,2.076,
2002-07,2.038,
2002-10,2.006,
2003-01,1.971,
2003-04,1.921,
2003-07,1.978,
2003-10,1.902,
2004-01,1.910,
2004-04,1.922,
2004-07,1.978,
2004-10,1.915,
2005-01,1.893,
2005-04,1.863,
2005-07,1.844,
2005-10,1.809,
2006-01,1.790,
2006-04,1.738,
2006-07,1.714,
2006-10,1.658,
2007-01,1.639,
2007-04,1.610,
2007-07,1.574,
2007-10,1.571,
2008-01,1.628,
2008-04,1.544,
2008-07,1.516,
2008-10,1.508,
2009-01,1.498,
2009-04,1.487,
2009-07,1.608,
2009-10,1.756,
2010-01,1.792,
2010-04,1.846,
2010-07,1.890,
2010-10,1.874,
2011-01,1.870,
2011-04,1.880,
2011-07,1.815,
2011-10,1.787,
2012-01,1.760,
2012-04,1.759,
2012-07,1.727,
2012-10,1.728,
2013-01,1.671,
2013-04,1.630,
2013-07,1.542,
2013-10,1.505,
2014-01,1.447,
2014-04,1.421,
2014-07,1.414,
