"",BBK01.OEAD14V,BBK01.OEAD14V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:59,
2002-01,0.063,
2002-04,0.061,
2002-07,0.061,
2002-10,0.060,
2003-01,0.064,
2003-04,0.058,
2003-07,0.058,
2003-10,0.051,
2004-01,0.056,
2004-04,0.048,
2004-07,0.046,
2004-10,0.042,
2005-01,0.046,
2005-04,0.048,
2005-07,0.038,
2005-10,0.038,
2006-01,0.041,
2006-04,0.039,
2006-07,0.042,
2006-10,0.033,
2007-01,0.034,
2007-04,0.033,
2007-07,0.035,
2007-10,0.037,
2008-01,0.042,
2008-04,0.038,
2008-07,0.038,
2008-10,0.042,
2009-01,0.050,
2009-04,0.045,
2009-07,0.044,
2009-10,0.041,
2010-01,0.049,
2010-04,0.045,
2010-07,0.044,
2010-10,0.043,
2011-01,0.045,
2011-04,0.046,
2011-07,0.046,
2011-10,0.044,
2012-01,0.049,
2012-04,0.042,
2012-07,0.045,
2012-10,0.044,
2013-01,0.051,
2013-04,0.047,
2013-07,0.042,
2013-10,0.037,
2014-01,0.036,
2014-04,0.033,
2014-07,0.039,
