"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.PL.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.PL.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / Poland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:47,
2009-09,969,
2009-10,968,
2009-11,966,
2009-12,962,
2010-01,1014,
2010-02,1032,
2010-03,1140,
2010-04,1239,
2010-05,1240,
2010-06,1236,
2010-07,1316,
2010-08,1306,
2010-09,1306,
2010-10,1357,
2010-11,1357,
2010-12,1358,
2011-01,1358,
2011-02,1359,
2011-03,1361,
2011-04,1414,
2011-05,1525,
2011-06,1543,
2011-07,1545,
2011-08,1620,
2011-09,1619,
2011-10,1594,
2011-11,1569,
2011-12,1594,
2012-01,1595,
2012-02,1597,
2012-03,1601,
2012-04,1608,
2012-05,1607,
2012-06,1608,
2012-07,1612,
2012-08,1616,
2012-09,1620,
2012-10,2063,
2012-11,2061,
2012-12,2160,
2013-01,2159,
2013-02,2203,
2013-03,2199,
2013-04,2212,
2013-05,2378,
2013-06,2374,
2013-07,2373,
2013-08,2177,
2013-09,2448,
2013-10,2419,
2013-11,2457,
2013-12,2454,
2014-01,2448,
2014-02,2440,
2014-03,2439,
2014-04,2433,
2014-05,2515,
2014-06,2514,
2014-07,2507,
2014-08,2503,
2014-09,2502,
2014-10,2315,
2014-11,2502,
