"",BBK01.BQM105,BBK01.BQM105_FLAGS
"","Central government debt - of which securities other than shares, excl. financial derivates - of which short-term",
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:31,
2000-01,10871,
2000-04,11163,
2000-07,11360,
2000-10,11119,
2001-01,11386,
2001-04,13241,
2001-07,17508,
2001-10,20919,
2002-01,16549,
2002-04,21070,
2002-07,30835,
2002-10,30049,
2003-01,29881,
2003-04,30187,
2003-07,32645,
2003-10,35014,
2004-01,36330,
2004-04,35565,
2004-07,35836,
2004-10,34381,
2005-01,36351,
2005-04,35996,
2005-07,35973,
2005-10,36122,
2006-01,36187,
2006-04,37043,
2006-07,37945,
2006-10,38008,
2007-01,38841,
2007-04,38725,
2007-07,37886,
2007-10,37513,
2008-01,37920,
2008-04,37290,
2008-07,40639,
2008-10,40969,
2009-01,64764,
2009-04,95948,
2009-07,107784,
2009-10,104745,
2010-01,93852,Provisional value
2010-04,82570,Provisional value
2010-07,82973,Provisional value
2010-10,85948,Provisional value
2011-01,94359,Provisional value
2011-04,95043,Provisional value
2011-07,104321,Provisional value
2011-10,104121,Provisional value
2012-01,98971,Provisional value
2012-04,97536,Provisional value
2012-07,87204,Provisional value
2012-10,88372,Provisional value
2013-01,87315,Provisional value
2013-04,90110,Provisional value
2013-07,85806,Provisional value
2013-10,78996,Provisional value
2014-01,73715,Provisional value
2014-04,67994,Provisional value
2014-07,66096,Provisional value
