"",BBDA1.M.DE.N.IM.S.A.NO.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.NO.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Norway / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:40:02,
1990-07,294240,
1990-08,331767,
1990-09,313213,
1990-10,394190,
1990-11,444461,
1990-12,437189,
1991-01,401414,
1991-02,340273,
1991-03,369286,
1991-04,390573,
1991-05,348581,
1991-06,352121,
1991-07,329396,
1991-08,296412,
1991-09,338788,
1991-10,353653,
1991-11,410405,
1991-12,351115,
1992-01,427067,
1992-02,354212,
1992-03,433864,
1992-04,452726,
1992-05,392858,
1992-06,415411,
1992-07,367259,
1992-08,308828,
1992-09,335246,
1992-10,414382,
1992-11,374341,
1992-12,380561,
1993-01,406944,
1993-02,385253,
1993-03,411323,
1993-04,394755,
1993-05,370571,
1993-06,383856,
1993-07,359519,
1993-08,349433,
1993-09,343515,
1993-10,408984,
1993-11,447997,
1993-12,440679,
1994-01,353003,
1994-02,409201,
1994-03,480759,
1994-04,412756,
1994-05,484503,
1994-06,453845,
1994-07,459110,
1994-08,370256,
1994-09,414526,
1994-10,452605,
1994-11,477970,
1994-12,518812,
1995-01,439668,
1995-02,427769,
1995-03,489517,
1995-04,450569,
1995-05,450323,
1995-06,411979,
1995-07,444827,
1995-08,407274,
1995-09,418213,
1995-10,488453,
1995-11,533148,
1995-12,563881,
1996-01,433774,
1996-02,526552,
1996-03,593315,
1996-04,512175,
1996-05,499771,
1996-06,579340,
1996-07,534944,
1996-08,467707,
1996-09,638174,
1996-10,819722,
1996-11,604032,
1996-12,751726,
1997-01,743426,
1997-02,605653,
1997-03,645889,
1997-04,556904,
1997-05,629730,
1997-06,674540,
1997-07,646048,
1997-08,698977,
1997-09,624335,
1997-10,781365,
1997-11,676049,
1997-12,661560,
1998-01,704247,
1998-02,596984,
1998-03,615802,
1998-04,585513,
1998-05,601113,
1998-06,525113,
1998-07,567828,
1998-08,386159,
1998-09,605009,
1998-10,510256,
1998-11,502227,
1998-12,539800,
1999-01,492142,
1999-02,460450,
1999-03,491650,
1999-04,553701,
1999-05,495467,
1999-06,438861,
1999-07,533307,
1999-08,563267,
1999-09,619067,
1999-10,733632,
1999-11,726368,
1999-12,862932,
2000-01,875292,
2000-02,658659,
2000-03,821341,
2000-04,770181,
2000-05,817824,
2000-06,643093,
2000-07,924550,
2000-08,748713,
2000-09,982683,
2000-10,792991,
2000-11,1395067,
2000-12,1172209,
2001-01,1110222,
2001-02,918182,
2001-03,999388,
2001-04,1072262,
2001-05,896905,
2001-06,763210,
2001-07,1070768,
2001-08,628122,
2001-09,924039,
2001-10,1094478,
2001-11,1127957,
2001-12,948849,
2002-01,905436,
2002-02,909200,
2002-03,700890,
2002-04,1154887,
2002-05,987228,
2002-06,999543,
2002-07,903783,
2002-08,553200,
2002-09,1022077,
2002-10,1294411,
2002-11,1090553,
2002-12,1357328,
2003-01,887667,
2003-02,1310000,
2003-03,1250136,
2003-04,746357,
2003-05,1576059,
2003-06,1001612,
2003-07,842355,
2003-08,1143554,
2003-09,939404,
2003-10,1064802,
2003-11,1308809,
2003-12,1374244,
2004-01,1087339,
2004-02,937811,
2004-03,1015709,
2004-04,1016645,
2004-05,912176,
2004-06,1275777,
2004-07,1063921,
2004-08,980479,
2004-09,999141,
2004-10,756257,
2004-11,1144212,
2004-12,1080660,
2005-01,1235385,
2005-02,904196,
2005-03,1079300,
2005-04,1312093,
2005-05,1042760,
2005-06,961884,
2005-07,676369,
2005-08,1707627,
2005-09,1415485,
2005-10,1513276,
2005-11,1531245,
2005-12,1722278,
2006-01,1414278,
2006-02,1601372,
2006-03,1624194,
2006-04,1873342,
2006-05,1837504,
2006-06,1685940,
2006-07,1680932,
2006-08,1677696,
2006-09,1844004,
2006-10,1253359,
2006-11,1436811,
2006-12,1717037,
2007-01,1579150,
2007-02,1476197,
2007-03,1349571,
2007-04,1401584,
2007-05,1441797,
2007-06,1412159,
2007-07,1449492,
2007-08,1406320,
2007-09,1282423,
2007-10,974141,
2007-11,2066129,
2007-12,1896541,
2008-01,1879664,
2008-02,1865040,
2008-03,1826564,
2008-04,1851631,
2008-05,1777526,
2008-06,2005383,
2008-07,2327928,
2008-08,1730466,
2008-09,1682399,
2008-10,1494128,
2008-11,2064025,
2008-12,1818589,
2009-01,1686772,
2009-02,1628227,
2009-03,1996827,
2009-04,1523114,
2009-05,1436556,
2009-06,1530772,
2009-07,1320927,
2009-08,1472733,
2009-09,1302704,
2009-10,1191280,
2009-11,757811,
2009-12,1312991,
2010-01,1388750,
2010-02,1401383,
2010-03,1529924,
2010-04,1530759,
2010-05,1312216,
2010-06,1613200,
2010-07,1249652,
2010-08,1412172,
2010-09,1172239,
2010-10,1374084,
2010-11,1634876,
2010-12,1547682,
2011-01,1869293,
2011-02,1952050,
2011-03,1622175,
2011-04,1920819,
2011-05,1736522,
2011-06,1589076,
2011-07,1511983,
2011-08,1817574,
2011-09,1714846,
2011-10,1314824,
2011-11,1661315,
2011-12,1923565,
2012-01,1994092,
2012-02,2456222,
2012-03,2416225,
2012-04,2363836,
