"",BBK01.OEAO06K,BBK01.OEAO06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:31,
2002-01,11.285,
2002-04,10.678,
2002-07,10.670,
2002-10,11.132,
2003-01,11.285,
2003-04,11.193,
2003-07,11.097,
2003-10,11.271,
2004-01,11.231,
2004-04,11.315,
2004-07,11.340,
2004-10,11.606,
2005-01,12.840,
2005-04,12.929,
2005-07,12.773,
2005-10,12.700,
2006-01,12.690,
2006-04,12.652,
2006-07,12.507,
2006-10,12.602,
2007-01,12.763,
2007-04,12.533,
2007-07,12.323,
2007-10,12.589,
2008-01,12.774,
2008-04,12.710,
2008-07,12.390,
2008-10,13.363,
2009-01,13.364,
2009-04,13.335,
2009-07,13.454,
2009-10,13.203,
2010-01,13.170,
2010-04,13.095,
2010-07,13.127,
2010-10,13.508,
2011-01,13.628,
2011-04,13.645,
2011-07,13.499,
2011-10,13.386,
2012-01,13.526,
2012-04,13.424,
2012-07,13.654,
2012-10,13.661,
2013-01,13.417,
2013-04,13.227,
2013-07,13.214,
2013-10,13.322,
2014-01,13.792,
2014-04,13.919,
2014-07,14.131,
