"",BBK01.OECI03T,BBK01.OECI03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:37,
2002-01,0.586,
2002-04,0.562,
2002-07,0.492,
2002-10,0.398,
2003-01,0.366,
2003-04,0.350,
2003-07,0.352,
2003-10,0.296,
2004-01,0.278,
2004-04,0.263,
2004-07,0.290,
2004-10,0.398,
2005-01,0.491,
2005-04,0.458,
2005-07,0.354,
2005-10,0.557,
2006-01,0.555,
2006-04,0.424,
2006-07,0.582,
2006-10,0.865,
2007-01,0.681,
2007-04,0.727,
2007-07,0.987,
2007-10,0.763,
2008-01,0.686,
2008-04,0.979,
2008-07,1.084,
2008-10,0.803,
2009-01,0.668,
2009-04,0.645,
2009-07,0.570,
2009-10,0.502,
2010-01,0.421,
2010-04,0.397,
2010-07,0.404,
2010-10,0.360,
2011-01,0.373,
2011-04,0.413,
2011-07,0.387,
2011-10,0.442,
2012-01,0.430,
2012-04,0.427,
2012-07,0.441,
2012-10,0.350,
2013-01,0.667,
2013-04,0.364,
2013-07,0.351,
2013-10,0.364,
2014-01,0.471,
2014-04,0.591,
2014-07,0.511,
