"",BBK01.OEAE34K,BBK01.OEAE34K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:02,
2002-01,1.651,
2002-04,1.676,
2002-07,1.683,
2002-10,1.667,
2003-01,1.613,
2003-04,1.417,
2003-07,1.403,
2003-10,1.381,
2004-01,1.366,
2004-04,1.530,
2004-07,1.463,
2004-10,1.443,
2005-01,1.435,
2005-04,1.458,
2005-07,1.427,
2005-10,1.486,
2006-01,1.430,
2006-04,1.454,
2006-07,1.442,
2006-10,1.342,
2007-01,1.227,
2007-04,1.238,
2007-07,1.218,
2007-10,1.188,
2008-01,1.279,
2008-04,1.288,
2008-07,1.262,
2008-10,1.350,
2009-01,1.318,
2009-04,1.469,
2009-07,1.294,
2009-10,1.269,
2010-01,1.266,
2010-04,1.375,
2010-07,2.152,
2010-10,2.265,
2011-01,2.248,
2011-04,2.232,
2011-07,2.231,
2011-10,2.194,
2012-01,2.243,
2012-04,2.881,
2012-07,2.890,
2012-10,2.890,
2013-01,2.882,
2013-04,2.944,
2013-07,2.901,
2013-10,2.777,
2014-01,2.739,
2014-04,2.710,
2014-07,2.703,
