"",BBK01.OEXI01Q,BBK01.OEXI01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:31,
2002-01,7.243,
2002-04,7.058,
2002-07,6.981,
2002-10,7.088,
2003-01,6.858,
2003-04,6.797,
2003-07,7.290,
2003-10,7.368,
2004-01,7.073,
2004-04,7.050,
2004-07,6.992,
2004-10,4.730,
2005-01,4.619,
2005-04,4.750,
2005-07,4.889,
2005-10,5.178,
2006-01,5.886,
2006-04,6.441,
2006-07,6.479,
2006-10,7.332,
2007-01,8.484,
2007-04,9.691,
2007-07,10.467,
2007-10,10.894,
2008-01,11.787,
2008-04,13.519,
2008-07,14.093,
2008-10,14.109,
2009-01,13.189,
2009-04,13.239,
2009-07,12.781,
2009-10,12.630,
2010-01,12.801,
2010-04,13.352,
2010-07,13.384,
2010-10,13.887,
2011-01,13.921,
2011-04,14.165,
2011-07,14.431,
2011-10,14.611,
2012-01,14.673,
2012-04,14.930,
2012-07,15.329,
2012-10,15.524,
2013-01,15.407,
2013-04,16.029,
2013-07,16.387,
2013-10,17.031,
2014-01,17.044,
2014-04,17.381,
2014-07,17.599,
