"",BBK01.OECJ04Q,BBK01.OECJ04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:33,
2002-01,0.292,
2002-04,0.225,
2002-07,0.242,
2002-10,0.207,
2003-01,0.233,
2003-04,0.216,
2003-07,0.313,
2003-10,0.282,
2004-01,0.276,
2004-04,0.292,
2004-07,0.270,
2004-10,0.492,
2005-01,0.440,
2005-04,0.372,
2005-07,0.463,
2005-10,0.525,
2006-01,0.510,
2006-04,0.542,
2006-07,0.561,
2006-10,0.619,
2007-01,0.557,
2007-04,0.604,
2007-07,0.521,
2007-10,0.679,
2008-01,0.681,
2008-04,0.649,
2008-07,0.614,
2008-10,0.586,
2009-01,0.458,
2009-04,0.452,
2009-07,0.443,
2009-10,0.391,
2010-01,0.346,
2010-04,0.305,
2010-07,0.330,
2010-10,0.306,
2011-01,0.302,
2011-04,0.290,
2011-07,0.285,
2011-10,0.362,
2012-01,0.392,
2012-04,0.341,
2012-07,0.409,
2012-10,0.331,
2013-01,0.278,
2013-04,0.284,
2013-07,0.241,
2013-10,0.273,
2014-01,0.382,
2014-04,0.333,
2014-07,0.261,
