"",BBK01.TQ7013,BBK01.TQ7013_FLAGS
"",Deposit takers - Capital to assets ratio FSI-I013,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:26,
2005-10,4.07,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,4.33,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,4.27,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,4.49,
2009-01,4.37,
2009-04,4.57,
2009-07,4.69,
2009-10,4.81,
2010-01,4.70,
2010-04,4.41,
2010-07,4.58,
2010-10,4.30,
2011-01,4.60,
2011-04,4.60,
2011-07,4.34,
2011-10,4.36,
2012-01,4.42,
2012-04,4.43,
2012-07,4.51,
2012-10,4.73,
2013-01,4.86,
2013-04,5.20,
2013-07,5.32,
2013-10,5.45,
2014-01,5.49,
2014-04,5.65,
2014-07,5.65,
