"",BBK01.OEXB02R,BBK01.OEXB02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:45,
2002-01,0.700,
2002-04,0.782,
2002-07,0.844,
2002-10,0.851,
2003-01,0.829,
2003-04,0.859,
2003-07,0.842,
2003-10,0.802,
2004-01,0.804,
2004-04,0.855,
2004-07,0.868,
2004-10,0.725,
2005-01,0.692,
2005-04,0.689,
2005-07,0.652,
2005-10,0.592,
2006-01,0.573,
2006-04,0.572,
2006-07,0.523,
2006-10,0.532,
2007-01,0.562,
2007-04,0.599,
2007-07,0.555,
2007-10,0.538,
2008-01,1.510,
2008-04,0.547,
2008-07,0.550,
2008-10,0.582,
2009-01,0.513,
2009-04,0.531,
2009-07,0.561,
2009-10,0.530,
2010-01,0.494,
2010-04,0.534,
2010-07,0.436,
2010-10,0.402,
2011-01,0.389,
2011-04,0.397,
2011-07,0.382,
2011-10,0.396,
2012-01,0.376,
2012-04,0.403,
2012-07,0.393,
2012-10,0.388,
2013-01,0.438,
2013-04,0.424,
2013-07,0.427,
2013-10,0.450,
2014-01,0.453,
2014-04,0.499,
2014-07,0.489,
