"",BBK01.OEAF34O,BBK01.OEAF34O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:05,
2002-01,27.038,
2002-04,27.230,
2002-07,27.666,
2002-10,27.970,
2003-01,28.390,
2003-04,29.021,
2003-07,27.810,
2003-10,28.732,
2004-01,29.038,
2004-04,29.396,
2004-07,30.093,
2004-10,30.669,
2005-01,31.518,
2005-04,31.905,
2005-07,34.260,
2005-10,34.568,
2006-01,34.810,
2006-04,35.140,
2006-07,35.695,
2006-10,36.216,
2007-01,36.344,
2007-04,36.617,
2007-07,36.748,
2007-10,36.540,
2008-01,36.541,
2008-04,36.772,
2008-07,36.866,
2008-10,36.704,
2009-01,36.564,
2009-04,37.119,
2009-07,37.229,
2009-10,36.644,
2010-01,36.084,
2010-04,34.873,
2010-07,36.386,
2010-10,36.724,
2011-01,36.604,
2011-04,36.572,
2011-07,36.653,
2011-10,36.629,
2012-01,36.679,
2012-04,36.662,
2012-07,36.917,
2012-10,37.138,
2013-01,37.101,
2013-04,37.492,
2013-07,37.720,
2013-10,37.822,
2014-01,38.109,
2014-04,38.174,
2014-07,38.373,
