"",BBEX3.M.AMD.EUR.CA.AC.A01,BBEX3.M.AMD.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Armenia / EUR 1 = AMD ... (middle),
unit,AMD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:35,
1999-01,623.24,
1999-02,592.65,
1999-03,573.92,
1999-04,569.29,
1999-05,575.05,
1999-06,564.94,
1999-07,575.57,
1999-08,562.78,
1999-09,558.69,
1999-10,546.35,
1999-11,535.60,
1999-12,531.21,
2000-01,527.75,
2000-02,517.97,
2000-03,504.82,
2000-04,487.89,
2000-05,496.95,
2000-06,515.84,
2000-07,512.40,
2000-08,484.26,
2000-09,476.00,
2000-10,459.01,
2000-11,474.25,
2000-12,511.49,
2001-01,509.55,
2001-02,497.00,
2001-03,482.60,
2001-04,494.45,
2001-05,475.65,
2001-06,471.60,
2001-07,484.70,
2001-08,504.75,
2001-09,510.85,
2001-10,507.00,
2001-11,500.30,
2001-12,494.65,
2002-01,488.10,
2002-02,491.55,
2002-03,502.50,
2002-04,523.60,
2002-05,545.85,
2002-06,567.00,
2002-07,552.20,
2002-08,548.25,
2002-09,567.40,
2002-10,572.55,
2002-11,581.95,
2002-12,606.85,
2003-01,628.45,
2003-02,636.85,
2003-03,632.60,
2003-04,643.15,
2003-05,687.75,
2003-06,667.40,
2003-07,655.50,
2003-08,629.35,
2003-09,650.70,
2003-10,655.25,
2003-11,673.85,
2003-12,702.20,
2004-01,705.75,
2004-02,702.25,
2004-03,684.40,
2004-04,647.00,
2004-05,667.10,
2004-06,650.40,
2004-07,624.25,
2004-08,620.80,
2004-09,626.25,
2004-10,640.95,
2004-11,663.70,
2004-12,661.15,
2005-01,623.25,
2005-02,620.35,
2005-03,592.95,
2005-04,566.90,
2005-05,555.10,
2005-06,533.20,
2005-07,541.75,
2005-08,570.50,
2005-09,535.85,
2005-10,547.70,
2005-11,529.90,
2005-12,532.35,
2006-01,542.75,
2006-02,534.15,
2006-03,545.45,
2006-04,553.85,
2006-05,548.95,
2006-06,524.75,
2006-07,525.95,
2006-08,508.25,
2006-09,485.00,
2006-10,481.89,
2006-11,485.56,
2006-12,478.76,
2007-01,466.15,
2007-02,467.83,
2007-03,483.52,
2007-04,487.01,
2007-05,466.84,
2007-06,459.16,
2007-07,460.55,
2007-08,457.91,
2007-09,476.15,
2007-10,468.36,
2007-11,450.00,
2007-12,446.96,
2008-01,454.43,
2008-02,465.44,
2008-03,486.25,
2008-04,477.75,
2008-05,473.10,
2008-06,476.61,
2008-07,469.81,
2008-08,446.65,
2008-09,434.33,
2008-10,389.03,
2008-11,392.89,
2008-12,435.00,
2009-01,391.92,
2009-02,387.29,
2009-03,487.99,comment
2009-04,492.22,
2009-05,519.21,
2009-06,507.60,
2009-07,521.92,
2009-08,535.64,
2009-09,562.24,
2009-10,573.10,
2009-11,580.22,
2009-12,542.23,
2010-01,525.93,
2010-02,522.93,
2010-03,538.87,
2010-04,512.35,
2010-05,466.26,
2010-06,448.72,
2010-07,482.95,
2010-08,459.86,
2010-09,492.39,
2010-10,495.44,
2010-11,466.86,
2010-12,481.16,
2011-01,495.45,
2011-02,507.56,
2011-03,525.54,
2011-04,549.87,
2011-05,542.90,
2011-06,534.26,
2011-07,519.12,
2011-08,530.89,
2011-09,503.72,
2011-10,530.97,
2011-11,507.07,
2011-12,498.72,
2012-01,510.43,
2012-02,523.34,
2012-03,521.39,
2012-04,518.59,
2012-05,504.01,
2012-06,525.61,
2012-07,500.98,
2012-08,513.43,
2012-09,525.73,
2012-10,527.03,
2012-11,526.83,
2012-12,532.24,
2013-01,551.53,
2013-02,536.65,
2013-03,536.54,
2013-04,537.36,
2013-05,541.59,
2013-06,535.25,
2013-07,543.94,
2013-08,537.66,
2013-09,546.82,
2013-10,554.12,
2013-11,549.68,
2013-12,559.54,
2014-01,552.30,
2014-02,569.16,
2014-03,569.91,
2014-04,571.71,
2014-05,562.56,
2014-06,556.06,
2014-07,543.61,
2014-08,541.88,
2014-09,513.49,
2014-10,517.12,
2014-11,539.60,
2014-12,577.47,
2015-01,539.38,
"","Source: Central Bank of Armenia, Yerevan (from January 2001 to September 2006 calculated on the basis of buying and selling rates).",
"",Comment on 2009-03: Exchange rate floated as from 3 March 2009.,
