"",BBK01.OECO04S,BBK01.OECO04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:30,
2002-01,-0.019,
2002-04,-0.101,
2002-07,0.003,
2002-10,0.004,
2003-01,-0.013,
2003-04,-0.018,
2003-07,0.039,
2003-10,-0.035,
2004-01,-0.010,
2004-04,-0.008,
2004-07,0.029,
2004-10,0.011,
2005-01,0.011,
2005-04,-0.002,
2005-07,0.007,
2005-10,-0.014,
2006-01,0.007,
2006-04,-0.011,
2006-07,-0.068,
2006-10,-0.030,
2007-01,0.033,
2007-04,-0.012,
2007-07,-0.032,
2007-10,-0.007,
2008-01,-0.003,
2008-04,0.037,
2008-07,-0.035,
2008-10,-0.025,
2009-01,0.030,
2009-04,0.049,
2009-07,0.065,
2009-10,0.037,
2010-01,0.015,
2010-04,-0.025,
2010-07,0.011,
2010-10,0.004,
2011-01,-0.014,
2011-04,-0.013,
2011-07,-0.004,
2011-10,0.004,
2012-01,0.105,
2012-04,-0.021,
2012-07,-0.003,
2012-10,0.029,
2013-01,-,Nothing exists
2013-04,-0.016,
2013-07,-0.029,
2013-10,-0.008,
2014-01,-0.013,
2014-04,-0.029,
2014-07,0.035,
