"",BBK01.OEXO01S,BBK01.OEXO01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:31,
2002-01,0.643,
2002-04,0.614,
2002-07,0.587,
2002-10,0.584,
2003-01,0.575,
2003-04,0.547,
2003-07,0.527,
2003-10,0.513,
2004-01,0.506,
2004-04,0.478,
2004-07,0.459,
2004-10,0.439,
2005-01,0.446,
2005-04,0.468,
2005-07,0.458,
2005-10,0.430,
2006-01,0.438,
2006-04,0.455,
2006-07,0.462,
2006-10,0.460,
2007-01,0.485,
2007-04,0.591,
2007-07,0.633,
2007-10,0.681,
2008-01,0.760,
2008-04,0.808,
2008-07,0.827,
2008-10,0.857,
2009-01,0.980,
2009-04,0.933,
2009-07,0.888,
2009-10,0.876,
2010-01,0.801,
2010-04,0.740,
2010-07,0.715,
2010-10,0.708,
2011-01,0.783,
2011-04,0.843,
2011-07,0.836,
2011-10,0.836,
2012-01,0.825,
2012-04,0.790,
2012-07,0.792,
2012-10,0.777,
2013-01,0.744,
2013-04,0.691,
2013-07,0.654,
2013-10,0.650,
2014-01,0.642,
2014-04,0.633,
2014-07,0.609,
