"",BBK01.OEAG02I,BBK01.OEAG02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:15,
2002-01,2.412,
2002-04,3.966,
2002-07,3.941,
2002-10,3.570,
2003-01,3.333,
2003-04,1.507,
2003-07,1.980,
2003-10,1.262,
2004-01,2.234,
2004-04,1.188,
2004-07,1.186,
2004-10,1.796,
2005-01,1.399,
2005-04,1.092,
2005-07,1.041,
2005-10,1.168,
2006-01,0.955,
2006-04,0.953,
2006-07,1.939,
2006-10,2.909,
2007-01,1.657,
2007-04,1.658,
2007-07,1.599,
2007-10,1.559,
2008-01,0.503,
2008-04,0.503,
2008-07,0.450,
2008-10,0.432,
2009-01,0.428,
2009-04,0.428,
2009-07,0.425,
2009-10,0.307,
2010-01,0.303,
2010-04,0.303,
2010-07,0.299,
2010-10,0.284,
2011-01,0.297,
2011-04,0.297,
2011-07,0.293,
2011-10,0.286,
2012-01,0.282,
2012-04,0.282,
2012-07,0.280,
2012-10,0.413,
2013-01,0.280,
2013-04,0.280,
2013-07,0.275,
2013-10,0.251,
2014-01,0.250,
2014-04,0.200,
2014-07,0.198,
