"",BBEX3.M.TTD.USD.CA.AA.A01,BBEX3.M.TTD.USD.CA.AA.A01_FLAGS
2006-09,6.26070,
2006-10,6.22090,
2006-11,6.29600,
2006-12,6.27710,
2007-01,6.26930,
2007-02,6.27420,
2007-03,6.32390,
2007-04,6.27200,
2007-05,6.23350,
2007-06,6.30670,
2007-07,6.30840,
2007-08,6.29910,
2007-09,6.30680,
2007-10,6.28490,
2007-11,6.25840,
2007-12,6.28130,
2008-01,6.26920,
2008-02,6.28030,
2008-03,6.30890,
2008-04,6.27630,
2008-05,6.12160,
2008-06,6.15130,
2008-07,6.19100,
2008-08,6.20180,
2008-09,6.22950,
2008-10,6.22510,
2008-11,6.21610,
2008-12,6.24640,
2009-01,6.24170,
2009-02,6.21270,
2009-03,6.28060,
2009-04,6.27830,
2009-05,6.26380,
2009-06,6.28420,
2009-07,6.25200,
2009-08,6.27940,
2009-09,6.31320,
2009-10,6.30540,
2009-11,6.32960,
2009-12,6.34130,
2010-01,6.30360,
2010-02,6.30530,
2010-03,6.35830,
2010-04,6.31490,
2010-05,6.32800,
2010-06,6.34900,
2010-07,6.29740,
2010-08,6.31670,
2010-09,6.27330,
2010-10,6.29030,
2010-11,6.28730,
2010-12,6.32970,
2011-01,6.37880,
2011-02,6.35420,
2011-03,6.37370,
2011-04,6.40300,
2011-05,6.40770,
2011-06,6.41210,
2011-07,6.33720,
2011-08,6.35180,
2011-09,6.40650,
2011-10,6.37340,
2011-11,6.37140,
2011-12,6.38810,
2012-01,6.33170,
2012-02,6.34500,
2012-03,6.39650,
2012-04,6.39250,
2012-05,6.34970,
2012-06,6.40420,
2012-07,6.33230,
2012-08,6.34410,
2012-09,6.39700,
2012-10,6.37570,
2012-11,6.36990,
2012-12,6.33060,
2013-01,6.36230,
2013-02,6.32200,
2013-03,6.37740,
2013-04,6.38390,
2013-05,6.36700,
2013-06,6.40500,
2013-07,6.38670,
2013-08,6.39860,
2013-09,6.41760,
2013-10,6.41380,
2013-11,6.31310,
2013-12,6.41050,
2014-01,6.37550,
2014-02,6.38250,
2014-03,6.41680,
2014-04,6.43950,
2014-05,6.41090,
2014-06,6.36940,
2014-07,6.32670,
2014-08,6.29850,
2014-09,6.34330,
2014-10,6.31590,
2014-11,6.33430,
2014-12,6.32430,
2015-01,6.32270,
"","General: On 13 April 1993, the Trinidad and Tobago dollar ceased to be pegged to the US dollar.",
"","Source: Central Bank of Trinidad and Tobago, Port-of-Spain.",
"","Comment on 1993-04: On 13 April 1993, the Trinidad and Tobago dollar ceased to be pegged to the US dollar and a floating exchange rate was adopted.  We recorded the following exchange rates (buying/selling).  7 April 1993: USD 1 = TTD 4.24734 / 4.28719  13 April 1993: USD 1 = TTD 5.60000 / 5.76800  Calculated devaluation: 24.9% (middle rate).",
"",Comment on 2003-01: Exchange rate as of 27 January 2003.,
"",Comment on 2003-03: Exchange rate as of 26 March 2003.,
"",Comment on 2003-09: Exchange rate as of 3 October 2003.,
