"",BBK01.OELB17P,BBK01.OELB17P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:50,
2002-01,3.413,
2002-04,3.433,
2002-07,3.341,
2002-10,3.350,
2003-01,3.458,
2003-04,3.467,
2003-07,3.513,
2003-10,3.559,
2004-01,3.554,
2004-04,3.571,
2004-07,3.608,
2004-10,3.613,
2005-01,3.593,
2005-04,3.602,
2005-07,3.626,
2005-10,3.624,
2006-01,3.638,
2006-04,3.662,
2006-07,3.694,
2006-10,3.688,
2007-01,3.676,
2007-04,3.684,
2007-07,3.701,
2007-10,3.664,
2008-01,3.642,
2008-04,3.637,
2008-07,3.633,
2008-10,3.605,
2009-01,3.585,
2009-04,3.605,
2009-07,3.642,
2009-10,3.657,
2010-01,3.651,
2010-04,3.696,
2010-07,3.728,
2010-10,3.760,
2011-01,3.789,
2011-04,3.843,
2011-07,3.899,
2011-10,3.936,
2012-01,3.959,
2012-04,4.083,
2012-07,4.133,
2012-10,4.165,
2013-01,4.168,
2013-04,4.195,
2013-07,4.205,
2013-10,4.220,
2014-01,4.238,
2014-04,4.252,
2014-07,4.274,
