"",BBFN1.M.DE.N.1.L.U2.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U2.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:10,
1995-01,13.701,
1995-02,13.894,
1995-03,13.845,
1995-04,13.838,
1995-05,14.649,
1995-06,14.510,
1995-07,14.203,
1995-08,14.834,
1995-09,15.406,
1995-10,15.279,
1995-11,16.211,
1995-12,15.812,
1996-01,15.552,
1996-02,16.824,
1996-03,15.078,
1996-04,15.060,
1996-05,14.803,
1996-06,14.139,
1996-07,13.982,
1996-08,13.831,
1996-09,14.991,
1996-10,14.407,
1996-11,16.305,
1996-12,16.427,
1997-01,13.932,
1997-02,15.307,
1997-03,15.913,
1997-04,16.040,
1997-05,17.437,
1997-06,19.207,
1997-07,18.593,
1997-08,18.487,
1997-09,18.186,
1997-10,19.635,
1997-11,18.985,
1997-12,18.123,
1998-01,19.121,
1998-02,19.193,
1998-03,21.143,
1998-04,20.312,
1998-05,18.826,
1998-06,15.962,
1998-07,16.617,
1998-08,15.557,
1998-09,16.361,
1998-10,16.032,
1998-11,17.374,
1998-12,15.925,
1999-01,16.943,
1999-02,16.563,
1999-03,17.970,
1999-04,17.421,
1999-05,16.684,
1999-06,18.636,
1999-07,19.966,
1999-08,21.715,
1999-09,20.593,
1999-10,22.103,
1999-11,18.998,
1999-12,26.491,
2000-01,28.461,
2000-02,31.441,
2000-03,30.229,
2000-04,27.262,
2000-05,24.235,
2000-06,20.583,
2000-07,17.262,
2000-08,16.857,
2000-09,23.560,
2000-10,22.999,
2000-11,21.427,
2000-12,21.377,
2001-01,23.357,
2001-02,19.317,
2001-03,18.490,
2001-04,19.455,
2001-05,19.461,
2001-06,19.577,
2001-07,19.558,
2001-08,19.524,
2001-09,18.759,
2001-10,18.685,
2001-11,18.866,
2001-12,17.263,
2002-01,18.740,
2002-02,18.977,
2002-03,17.559,
2002-04,17.747,
2002-05,20.697,
2002-06,19.968,
2002-07,20.529,
2002-08,20.622,
2002-09,19.634,
2002-10,19.227,
2002-11,19.525,
2002-12,16.769,
2003-01,19.510,
2003-02,17.230,
2003-03,15.062,
2003-04,15.172,
2003-05,14.672,
2003-06,13.259,
2003-07,14.207,
2003-08,14.980,
2003-09,13.954,
2003-10,13.202,
2003-11,14.041,
2003-12,12.330,
2004-01,15.538,
2004-02,16.764,
2004-03,17.431,
2004-04,17.136,
2004-05,16.772,
2004-06,15.702,
2004-07,14.677,
2004-08,14.500,
2004-09,15.055,
2004-10,14.386,
2004-11,13.560,
2004-12,11.680,
2005-01,12.126,
2005-02,12.147,
2005-03,11.041,
2005-04,11.270,
2005-05,12.151,
2005-06,11.332,
2005-07,11.711,
2005-08,12.555,
2005-09,12.220,
2005-10,13.154,
2005-11,12.763,
2005-12,9.867,
2006-01,10.941,
2006-02,11.803,
2006-03,12.224,
2006-04,13.033,
2006-05,12.991,
2006-06,14.085,
2006-07,15.087,
2006-08,18.308,
2006-09,19.806,
2006-10,17.910,
2006-11,16.585,
2006-12,11.449,
2007-01,19.835,
2007-02,21.669,
2007-03,20.399,
2007-04,19.155,
2007-05,19.324,
2007-06,19.541,
2007-07,19.958,
2007-08,17.854,
2007-09,21.484,
2007-10,13.642,
2007-11,17.548,
2007-12,15.354,
2008-01,21.097,
2008-02,24.984,
2008-03,18.272,
2008-04,21.807,
2008-05,23.471,
2008-06,21.255,
2008-07,20.191,
2008-08,18.705,
2008-09,19.895,
2008-10,22.550,
2008-11,21.785,
2008-12,21.669,
2009-01,24.843,
2009-02,22.424,
2009-03,23.222,
2009-04,25.140,
2009-05,23.284,
2009-06,23.432,
2009-07,20.295,
2009-08,20.958,
2009-09,19.917,
2009-10,20.160,
2009-11,21.212,
2009-12,23.674,
2010-01,21.994,
2010-02,22.302,
2010-03,19.827,
2010-04,20.974,
2010-05,23.002,
2010-06,26.807,
2010-07,28.363,
2010-08,31.190,
2010-09,31.989,
2010-10,29.202,
2010-11,29.962,
2010-12,31.423,
2011-01,31.951,
2011-02,32.910,
2011-03,30.223,
2011-04,34.107,
2011-05,35.551,
2011-06,36.775,
2011-07,44.618,
2011-08,44.078,
2011-09,49.755,
2011-10,46.324,
2011-11,43.521,
2011-12,41.160,
2012-01,44.230,
2012-02,42.552,
2012-03,44.936,
2012-04,50.362,
2012-05,58.959,
2012-06,54.681,
2012-07,49.694,
2012-08,44.139,
2012-09,55.086,
2012-10,55.401,
2012-11,52.771,
2012-12,49.679,
2013-01,50.641,
2013-02,55.695,
2013-03,62.742,
2013-04,70.719,
2013-05,71.878,
2013-06,76.646,
2013-07,70.903,
2013-08,66.843,
2013-09,68.793,
2013-10,65.307,
2013-11,68.544,
2013-12,51.454,
2014-01,60.415,
2014-02,57.330,
2014-03,59.004,
2014-04,67.247,
2014-05,61.073,
2014-06,59.885,
2014-07,73.312,
2014-08,65.095,
2014-09,60.908,
2014-10,58.756,
2014-11,60.974,
2014-12,57.757,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
