"",BBK01.OELJ07G,BBK01.OELJ07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:57,
2002-01,0.224,
2002-04,0.231,
2002-07,0.230,
2002-10,0.231,
2003-01,0.235,
2003-04,0.237,
2003-07,0.242,
2003-10,0.254,
2004-01,0.272,
2004-04,0.277,
2004-07,0.275,
2004-10,0.271,
2005-01,0.284,
2005-04,0.306,
2005-07,0.319,
2005-10,0.328,
2006-01,0.330,
2006-04,0.346,
2006-07,0.340,
2006-10,0.334,
2007-01,0.331,
2007-04,0.310,
2007-07,0.302,
2007-10,0.294,
2008-01,0.281,
2008-04,0.277,
2008-07,0.276,
2008-10,0.268,
2009-01,0.301,
2009-04,0.349,
2009-07,0.402,
2009-10,0.451,
2010-01,0.505,
2010-04,0.520,
2010-07,0.542,
2010-10,0.557,
2011-01,0.566,
2011-04,0.558,
2011-07,0.561,
2011-10,0.544,
2012-01,0.551,
2012-04,0.564,
2012-07,0.584,
2012-10,0.607,
2013-01,0.616,
2013-04,0.698,
2013-07,0.707,
2013-10,0.611,
2014-01,0.617,
2014-04,0.624,
2014-07,0.636,
