"",BBFB1.Q.N.DE.E1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:16,
1991-01,2864.510,
1991-04,1517.226,
1991-07,2049.417,
1991-10,1686.850,
1992-01,1252.600,
1992-04,816.010,
1992-07,1086.786,
1992-10,416.571,
1993-01,486.231,
1993-04,-214.724,
1993-07,-242.290,
1993-10,377.278,
1994-01,-793.697,
1994-04,-1600.482,
1994-07,-1294.578,
1994-10,-243.701,
1995-01,-1848.610,
1995-04,-2799.043,
1995-07,-2708.088,
1995-10,-610.467,
1996-01,-1468.358,
1996-04,-2945.169,
1996-07,-5053.193,
1996-10,530.785,
1997-01,-2831.620,
1997-04,-3975.180,
1997-07,-3422.414,
1997-10,122.062,
1998-01,-3432.521,
1998-04,-5708.495,
1998-07,-5473.609,
1998-10,-2350.379,
1999-01,-4356.254,
1999-04,-5906.723,
1999-07,-6094.446,
1999-10,-3608.777,
2000-01,-3529.380,
2000-04,-6305.802,
2000-07,-8088.332,
2000-10,722.598,
2001-01,-3919.788,
2001-04,-5703.209,
2001-07,-4903.262,
2001-10,-1526.562,
2002-01,-6053.670,
2002-04,-8817.039,
2002-07,-7392.867,
2002-10,-3850.291,
2003-01,-5071.635,
2003-04,-9128.213,
2003-07,-5777.887,
2003-10,-1111.287,
2004-01,-2959.420,
2004-04,-4809.456,
2004-07,-1472.342,
2004-10,3040.643,
2005-01,406.160,
2005-04,-3070.592,
2005-07,-84.726,
2005-10,5355.403,
2006-01,4499.502,
2006-04,1100.466,
2006-07,6322.882,
2006-10,12327.756,
2007-01,9177.710,
2007-04,-927.878,
2007-07,6487.187,
2007-10,13228.397,
2008-01,10234.174,
2008-04,-5267.326,
2008-07,1705.492,
2008-10,10514.489,
2009-01,11074.826,
2009-04,3884.164,
2009-07,12697.734,
2009-10,18642.339,
2010-01,9392.280,
2010-04,992.379,
2010-07,7948.635,
2010-10,16085.730,
2011-01,12467.001,
2011-04,3743.171,
2011-07,13752.177,
2011-10,20129.776,
2012-01,13681.566,
2012-04,5821.938,
2012-07,13611.360,
2012-10,20754.064,
2013-01,15011.719,
2013-04,9121.415,
2013-07,12708.270,
2013-10,21484.257,
2014-01,14141.986,Provisional value
2014-04,5572.450,Provisional value
2014-07,13826.106,Provisional value
