"",BBK01.OEAC15H,BBK01.OEAC15H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:09,
2002-01,17.218,
2002-04,17.192,
2002-07,17.042,
2002-10,16.895,
2003-01,16.780,
2003-04,16.475,
2003-07,16.137,
2003-10,15.755,
2004-01,15.524,
2004-04,15.701,
2004-07,15.481,
2004-10,15.129,
2005-01,15.073,
2005-04,14.834,
2005-07,14.615,
2005-10,14.486,
2006-01,14.624,
2006-04,14.615,
2006-07,14.912,
2006-10,14.633,
2007-01,14.321,
2007-04,14.244,
2007-07,14.054,
2007-10,13.305,
2008-01,13.381,
2008-04,13.218,
2008-07,13.052,
2008-10,12.847,
2009-01,12.843,
2009-04,10.453,
2009-07,10.285,
2009-10,10.081,
2010-01,10.146,
2010-04,10.179,
2010-07,10.078,
2010-10,9.946,
2011-01,9.997,
2011-04,9.941,
2011-07,9.732,
2011-10,9.565,
2012-01,9.693,
2012-04,9.678,
2012-07,9.894,
2012-10,9.696,
2013-01,9.780,
2013-04,9.726,
2013-07,9.612,
2013-10,9.406,
2014-01,9.371,
2014-04,9.424,
2014-07,9.453,
