"",BBSF2.M.1.T.00000.AKT01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.AKT01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Equity funds / Deposits and loan claims,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:16,
2009-09,7308,
2009-10,7291,
2009-11,6845,
2009-12,6459,
2010-01,6658,
2010-02,6482,
2010-03,5983,
2010-04,6012,
2010-05,6516,
2010-06,6607,
2010-07,7173,
2010-08,7817,
2010-09,6573,
2010-10,5606,
2010-11,5863,
2010-12,5246,
2011-01,6562,
2011-02,6820,
2011-03,6757,
2011-04,7279,
2011-05,7780,
2011-06,7903,
2011-07,7450,
2011-08,7954,
2011-09,7722,
2011-10,7588,
2011-11,7264,
2011-12,7032,
2012-01,7500,
2012-02,7713,
2012-03,7777,
2012-04,7942,
2012-05,7998,
2012-06,8644,
2012-07,7722,
2012-08,7687,
2012-09,7494,
2012-10,7883,
2012-11,7122,
2012-12,6482,
2013-01,7006,
2013-02,6395,
2013-03,6626,
2013-04,7146,
2013-05,6697,
2013-06,6842,
2013-07,7489,
2013-08,6744,
2013-09,6813,
2013-10,6644,
2013-11,6456,
2013-12,7155,
2014-01,6813,
2014-02,6918,
2014-03,7527,
2014-04,13048,
2014-05,14135,
2014-06,8085,
2014-07,7955,
2014-08,8283,
2014-09,8781,
2014-10,7754,
2014-11,8010,
