"",BBFB1.Q.N.DE.RU.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:34,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,1.028,
1992-07,-0.035,
1992-10,0.022,
1993-01,0.813,
1993-04,-0.266,
1993-07,2.160,
1993-10,-1.249,
1994-01,-2.441,
1994-04,-0.256,
1994-07,-1.132,
1994-10,-0.284,
1995-01,-0.989,
1995-04,-0.573,
1995-07,15.084,
1995-10,3.027,
1996-01,-0.027,
1996-04,-0.495,
1996-07,-0.325,
1996-10,2.963,
1997-01,-,Nothing exists
1997-04,-2.598,
1997-07,-0.258,
1997-10,-0.289,
1998-01,-0.736,
1998-04,-11.275,
1998-07,-17.658,
1998-10,-0.050,
1999-01,-0.030,
1999-04,0.004,
1999-07,1.156,
1999-10,2.750,
2000-01,0.957,
2000-04,1.091,
2000-07,1.866,
2000-10,0.834,
2001-01,1.052,
2001-04,0.923,
2001-07,0.586,
2001-10,3.752,
2002-01,-1.024,
2002-04,-,Nothing exists
2002-07,1.813,
2002-10,0.034,
2003-01,-0.060,
2003-04,-1.717,
2003-07,-0.299,
2003-10,1.598,
2004-01,-0.020,
2004-04,1.172,
2004-07,0.020,
2004-10,-0.101,
2005-01,7.911,
2005-04,0.173,
2005-07,-0.046,
2005-10,0.396,
2006-01,-,Nothing exists
2006-04,-0.042,
2006-07,-0.065,
2006-10,-0.007,
2007-01,9.190,
2007-04,10.085,
2007-07,9.124,
2007-10,11.973,
2008-01,9.045,
2008-04,9.202,
2008-07,8.916,
2008-10,6.489,
2009-01,8.877,
2009-04,8.626,
2009-07,-3.217,
2009-10,8.242,
2010-01,7.067,
2010-04,6.722,
2010-07,7.954,
2010-10,7.835,
2011-01,7.892,
2011-04,7.232,
2011-07,7.197,
2011-10,11.659,
2012-01,9.552,
2012-04,6.424,
2012-07,4.694,
2012-10,6.993,
2013-01,131.725,
2013-04,44.472,
2013-07,-178.590,
2013-10,-100.380,
2014-01,100.295,Provisional value
2014-04,-82.812,Provisional value
2014-07,-377.350,Provisional value
2014-10,-16.878,Provisional value
