"",BBK01.OEBB19V,BBK01.OEBB19V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:16,
2002-01,1.473,
2002-04,1.546,
2002-07,1.588,
2002-10,1.756,
2003-01,1.753,
2003-04,0.744,
2003-07,0.773,
2003-10,0.788,
2004-01,0.686,
2004-04,0.727,
2004-07,0.750,
2004-10,0.734,
2005-01,0.955,
2005-04,0.940,
2005-07,1.046,
2005-10,1.027,
2006-01,1.023,
2006-04,1.039,
2006-07,1.054,
2006-10,1.112,
2007-01,1.142,
2007-04,1.181,
2007-07,1.212,
2007-10,1.003,
2008-01,1.004,
2008-04,1.017,
2008-07,1.007,
2008-10,1.201,
2009-01,1.231,
2009-04,1.242,
2009-07,1.247,
2009-10,1.279,
2010-01,1.233,
2010-04,1.221,
2010-07,1.200,
2010-10,1.152,
2011-01,1.117,
2011-04,1.092,
2011-07,1.076,
2011-10,1.007,
2012-01,0.982,
2012-04,0.964,
2012-07,0.924,
2012-10,0.897,
2013-01,0.874,
2013-04,0.869,
2013-07,0.873,
2013-10,0.857,
2014-01,0.848,
2014-04,0.652,
2014-07,0.648,
