"",BBSF2.M.1.S.00000.AKT01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.AKT01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Special investors funds / Equity funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:23,
2009-09,11228,
2009-10,11259,
2009-11,10565,
2009-12,10762,
2010-01,9802,
2010-02,9408,
2010-03,9639,
2010-04,9527,
2010-05,9463,
2010-06,9498,
2010-07,9718,
2010-08,9955,
2010-09,9117,
2010-10,9642,
2010-11,9360,
2010-12,8576,
2011-01,8157,
2011-02,8424,
2011-03,8780,
2011-04,8895,
2011-05,8978,
2011-06,9004,
2011-07,9072,
2011-08,9288,
2011-09,9158,
2011-10,8864,
2011-11,8366,
2011-12,8815,
2012-01,9526,
2012-02,9952,
2012-03,9882,
2012-04,9736,
2012-05,9673,
2012-06,9538,
2012-07,9778,
2012-08,9579,
2012-09,9531,
2012-10,9667,
2012-11,9893,
2012-12,10074,
2013-01,10142,
2013-02,10190,
2013-03,10490,
2013-04,10960,
2013-05,10940,
2013-06,10775,
2013-07,10674,
2013-08,10867,
2013-09,10927,
2013-10,11051,
2013-11,11026,
2013-12,10796,
2014-01,11088,
2014-02,11168,
2014-03,11168,
2014-04,13542,
2014-05,13620,
2014-06,13614,
2014-07,13874,
2014-08,13884,
2014-09,13808,
2014-10,10728,
2014-11,10697,
